"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,730","4,319","34.44%"
"Central Mississippi Correctional Facility","3,219","3,153","25.14%"
"South Mississippi Correctional Institution","2,306","2,209","17.61%"
"County Jails - Approved*","2,240","1,222","9.74%"
"County Jails - Unapproved**","0","35","0.28%"
"Community Work Centers","1,816","1,603","12.78%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,311","12,541","100.00%"
"Bolivar County Correctional Facility","294","291","9.75%"
"Carroll County Correctional Facility","250","251","8.41%"
"George County Correctional Facility","280","278","9.31%"
"Holmes County Correctional Facility","280","279","9.35%"
"Issaquena County Correctional Facility","274","271","9.08%"
"Jefferson County Correctional Facility","250","249","8.34%"
"Kemper County Correctional Facility","280","279","9.35%"
"Leake County Correctional Facility","280","280","9.38%"
"Marion County Correctional Facility","280","277","9.28%"
"Stone County Correctional Facility","280","280","9.38%"
"Winston County Correctional Facility","250","250","8.38%"
"TOTAL REGIONAL FACILITIES","2,998","2,985","100.00%"
"Delta Correctional Facility","972","969","20.00%"
"East MS Correctional Facility","1,000","863","17.81%"
"Marshall County Correctional Facility","1,000","993","20.49%"
"Tallahatchie County Correctional Facility","128","128","2.64%"
"Walnut Grove Correctional Facility","1,000","915","18.88%"
"Wilkinson County Correctional Facility","1,000","978","20.18%"
"TOTAL PRIVATE PRISONS","5,100","4,846","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","48","0.19%"
"Court Order","0","350","1.41%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,431","20,787","84.00%"
"Intensive Supervision Program","0","1,673","6.76%"
"Earned Release Supervision Program","","1,857","7.50%"
"Medical Release","00","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","3,538","14.30%"
"Other Custody","","302","1.22%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","0","114","0.46%"
"TOTAL","22,431","24,745","100.00%"
