"","Fact Sheet","",""
"","","As of April 1 , 2020",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","5",".02%"
"Emergency Suspension","0","537","2.54%"
"Pending File Review","0","115",".54%"
"TVC","0","63",".30%"
"Transitional Housing","0","12",".06%"
"Court Order","0","195",".92%"
"RRP","0","72",".34%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","19,139","90.55%"
"Intensive Supervision Program","0","926","4.38%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","537","2.54%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","17","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1,489","7.04%"
"Other Custody","0","476","2.25%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","24,225","21,137","100.00%"
