"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,361","25.37%"
"Central Mississippi Correctional Facility","3,557","3,245","24.50%"
"South Mississippi Correctional Institution","3,282","3,236","24.43%"
"Youthful Offender Facility","42","34","0.26%"
"County Jails - Approved*","1,872","1,565","11.81%"
"County Jails - Unapproved**","0","402","3.03%"
"Community Work Centers","1,848","1,404","10.60%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,249","13,247","100.00%"
"Alcorn County Correctional Facility","300","298","6.73%"
"Bolivar County Correctional Facility","369","369","8.33%"
"Carroll County Correctional Facility","280","280","6.32%"
"Chickasaw County Correctional Facility","300","298","6.73%"
"George County Correctional Facility","280","280","6.32%"
"Holmes County Correctional Facility","280","279","6.30%"
"Issaquena County Correctional Facility","274","274","6.18%"
"Jefferson County Correctional Facility","280","278","6.27%"
"Kemper County Correctional Facility","355","355","8.01%"
"Leake County Correctional Facility","280","281","6.34%"
"Marion County Correctional Facility","280","280","6.32%"
"Stone County Correctional Facility","280","280","6.32%"
"Washington County Correctional Facility","300","299","6.75%"
"Winston County Correctional Facility","280","282","6.36%"
"Yazoo County Correctional Facility","300","298","6.73%"
"TOTAL REGIONAL FACILITIES","4,438","4,431","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,201","27.31%"
"Marshall County Correctional Facility","1,000","998","22.70%"
"Walnut Grove Correctional Facility","1,500","1,308","29.75%"
"Wilkinson County Correctional Facility","1,000","890","20.24%"
"TOTAL PRIVATE PRISONS","5,972","4,397","100.00%"
"Community Trusties","22","11",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","81",".31%"
"Court Order","0","356","1.36%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,681","22,523","85.80%"
"Intensive Supervision Program","0","1,520","5.79%"
"Earned Release Supervision Program","","1,668","6.35%"
"Medical Release","","23",".09%"
"TOTAL COMMUNITY CORRECTIONS","","3,211","12.23%"
"Other Custody","","479","1.82%"
"Off-Grounds Medical (Hospital)","0000","8",".03%"
"At Large (Escapees & Walk-Aways)","","31",".12%"
"TOTAL","25,681","26,252","00
100.00%"
