"As of June 3, 2019","",""
"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,307","35.50%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,419","2.61%"
"Other Custody","487",".90%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","6",".01%"
"INMATE TOTAL","21,243","39.06%"
"PAROLEES","8,827","16.23%"
"TVC Parole","293","0.54%"
"PROBATIONERS","23,888","43.92%"
"TVC Probation","141","0.26%"
"PAROLEE AND PROBATIONER TOTAL","33,149","60.94%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,392","100.00%"
