"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,228","","0","1,018","","0","22","","0","3","","0","3","","0","0","0","","3,274"
"CMCF","1,170","","365","719","","458","19","","3","7","","3","6","","2","1","0","","2,753"
"SMCI","1,756","","0","906","","0","27","","0","2","","0","5","","0","0","0","","2,696"
"County Jails (approved)","364","","15","242","","35","4","","0","1","","0","0","","0","0","0","","661"
"County Jails (unapproved)","81","","6","54","","7","2","","0","0","","0","0","","0","0","0","","150"
"Youthful Offender Facility","24","","0","3","","0","1","","0","0","","0","0","","0","0","0","","28"
"Private Prisons","2,831","","0","1,043","","0","24","","0","8","","0","6","","0","0","0","","3,912"
"Regional Correctional Facilities","2,459","","106","1,122","","116","37","","2","5","","0","11","","0","1","0","","3,859"
"Community Work Centers","531","","48","287","","117","1","","2","0","","0","2","","0","2","0","","990"
"Community Trusties","13","","0","2","","0","0","","0","2","","0","2","","0","0","0","","19"
"Pending File Review","36","","5","37","","7","0","","0","0","","0","1","","0","0","0","","86"
"Court Order","109","","1","76","","12","0","","0","0","","0","0","","0","0","0","","198"
"","11,602","","546","5,509","","752","137","","7","28","","3","36","","2","4","0","","18,626"
"Intensive Supervison Program","336","","96","237","","120","4","","2","1","","1","3","","0","0","0","","800"
"Earned Release Supervision","562","","63","196","","38","2","","0","0","","0","1","","0","0","0","","862"
"Medical Release","5","","0","4","","2","0","","0","0","","0","0","","0","0","0","","11"
"Other Custody","236","","13","196","","25","41","","4","2","","1","3","","0","3","0","","524"
"At Large","15","","0","6","","2","3","","0","0","","0","0","","0","0","0","","26"
"Off-Grounds Medical (Hospital)","6","","0","1","","0","0","","0","0","","0","0","","0","0","0","","7"
"Conditional Release","0","","0","1","","1","0","","0","0","","0","0","","0","0","0","","2"
"TOTAL","12,762","","718","6,150","","940","187","","13","31","","5","43","","2","7","0","","20,858"
"% OF TOTAL OFFENDERS","61.19%","","3.44%","29.49%","","4.51%",".90%","",".06%",".15%","",".02%",".21%","",".01%",".03%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","605","","546","","","187","","","1,397","","","539","","","","3,274",""
"CMCF","","","654","","835","","","156","","","844","","","264","","","","2,753",""
"SMCI","","","487","","539","","","159","","","1,032","","","479","","","","2,696",""
"County Jails (approved)","","","389","","201","","","11","","","52","","","","","","","661",""
"Youthful Offender Facility","","","0","","1","","","5","","","15","","","","","","","28",""
"County Jails (unapproved)","","","36","","74","","","6","","","25","","","9","","","","150",""
"Private Prisons","","","495","","540","","","272","","","1,920","","","685","","","","3,912",""
"Regional Correctional Facilities","","","688","","703","","","286","","","1,383","","","799","","","","3,859",""
"Community Work Centers","","","659","","290","","","1","","","40","","","0","","","","990",""
"Community Trusties","","","16","","","","","0","","","0","","","0","","","","19",""
"Pending File Review","","","30","","4","","","4","","","8","","","0","","","","86",""
"Court Order","","","67","","63","","","12","","","46","","","10","","","","198",""
"TOTAL CUSTODY POPULATION","","","4,126","","3,839","","","1,099","","","6,762","","","2,800","","","","18,626",""
"% OF TOTAL OFFENSES","","","22.15%","","20.61%","","","5.90%","","","36.30%","","","15.03%","","","","100.00%",""
"Intensive Supervison Program","","","346","","389","","","7","","","53","","","5","","","","800",""
"Earned Release Supervision","","","265","","63","","","149","","","382","","","3","","","","862",""
"Medical Release","","","6","","3","","","0","","","2","","","0 2","","","","11",""
"Other Custody","","","177","","217","","","17","","","87","","","6","","","","524",""
"At Large","","","","","4","","","0","","","6","","","0","","","","26",""
"Off-Grounds Medical (Hospital)","","","","","","","","0","","","5","","","0","","","","7",""
"Conditional Release","","","0","","0","","","0","","","2","","","0","","","","2",""
"TOTAL","","","4,928","","4,525","","","1,272","","","7,299","","","2,834","","","","20,858",""
"% OF TOTAL OFFENSES","","","23.63%","","21.70%","","","6.10%","","","35.00%","","","13.59%","","","","100.00%","6 2
3 4
01
8 7"
