"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,481","35.41%"
"Community Corrections (ERS, ISP, Medical Release)","3,321","5.48%"
"Other Custody","408",".67%"
"At Large (Escapees & Walk-Aways)","37",".06%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","25,258","41.64%"
"PAROLEES","6,968","11.49%"
"PROBATIONERS","28,430","46.87%"
"PAROLEE AND PROBATIONER TOTAL","35,398","58.36%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","60,656","100.00%"
