"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,179","35.50%"
"Community Corrections (ERS, ISP, Medical Release)","3,198","5.12%"
"Other Custody","467",".75%"
"At Large (Escapees & Walk-Aways)","34",".05%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","25,888","41.44%"
"PAROLEES","6,604","10.57%"
"PROBATIONERS","29,978","47.99%"
"PAROLEE AND PROBATIONER TOTAL","36,582","58.56%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","62,470","100.00%"
