"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","22,245","35.78%"
"Community Corrections (ERS, ISP, Medical Release)","3,307","5.32%"
"Other Custody","449",".72%"
"At Large (Escapees & Walk-Aways)","34",".05%"
"Off-Grounds Medical (Hospital)","12",".02%"
"INMATE TOTAL","26,047","41.90%"
"PAROLEES","6,700","10.78%"
"PROBATIONERS","29,421","47.32%"
"PAROLEE AND PROBATIONER TOTAL","36,121","58.10%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","62,168","100.00%"
