"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,534","4,516","33.90%"
"Central Mississippi Correctional Facility","3,381","3,317","24.90%"
"South Mississippi Correctional Institution","2,395","2,281","17.12%"
"County Jails - Approved*","1,786","1,332","10.00%"
"County Jails - Unapproved**","0","123","0.92%"
"Community Work Centers","1,816","1,754","13.17%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,912","13,323","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","294","9.57%"
"Carroll County Correctional Facility","280","279","9.08%"
"George County Correctional Facility","280","279","9.08%"
"Holmes County Correctional Facility","280","279","9.08%"
"Issaquena County Correctional Facility","274","274","8.92%"
"Jefferson County Correctional Facility","274","273","8.88%"
"Kemper County Correctional Facility","280","277","9.01%"
"Leake County Correctional Facility","280","280","9.11%"
"Marion County Correctional Facility","280","279","9.08%"
"Stone County Correctional Facility","280","280","9.11%"
"Winston County Correctional Facility","280","279","9.08%"
"TOTAL REGIONAL FACILITIES","3,082","3,073","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","965","19.94%"
"East MS Correctional Facility","1,000","860","17.77%"
"Marshall County Correctional Facility","1,000","995","20.56%"
"Tallahatchie County Correctional Facility","128","129","2.67%"
"Walnut Grove Correctional Facility","1,000","942","19.46%"
"Wilkinson County Correctional Facility","1,000","949","19.61%"
"TOTAL PRIVATE PRISONS","5,100","4,840","100.00%"
"Community Trusties","02
2","16","0.06%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","43","0.17%"
"Court Order","0","342","1.35%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,116","21,637","85.57%"
"Intensive Supervision Program","0","1,483","5.86%"
"Earned Release Supervision Program","00","1,711","6.77%"
"Medical Release","","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,203","12.67%"
"Other Custody","","310","1.23%"
"Off-Grounds Medical (Hospital)","0","8","0.03%"
"At Large (Escapees & Walk-Aways)","0","129","0.51%"
"TOTAL","22,116","25,287","100.00%"
