"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,529","4,341","34.68%"
"Central Mississippi Correctional Facility","3,233","3,135","25.05%"
"South Mississippi Correctional Institution","2,306","2,030","16.22%"
"County Jails - Approved*","2,177","1,271","10.16%"
"County Jails - Unapproved**","0","52","0.42%"
"Community Work Centers","1,816","1,687","13.48%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,061","12,516","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","291","9.55%"
"Carroll County Correctional Facility","280","278","9.12%"
"George County Correctional Facility","280","281","9.22%"
"Holmes County Correctional Facility","280","280","9.19%"
"Issaquena County Correctional Facility","274","270","8.86%"
"Jefferson County Correctional Facility","250","247","8.11%"
"Kemper County Correctional Facility","280","279","9.16%"
"Leake County Correctional Facility","280","280","9.19%"
"Marion County Correctional Facility","280","278","9.12%"
"Stone County Correctional Facility","280","283","9.29%"
"Winston County Correctional Facility","280","280","9.19%"
"TOTAL REGIONAL FACILITIES","3,058","3,047","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","968","20.29%"
"East MS Correctional Facility","1,000","853","17.88%"
"Marshall County Correctional Facility","1,000","998","20.92%"
"Tallahatchie County Correctional Facility","128","127","2.66%"
"Walnut Grove Correctional Facility","1,000","912","19.12%"
"Wilkinson County Correctional Facility","1,000","912","19.12%"
"TOTAL PRIVATE PRISONS","5,100","4,770","100.00%"
"Community Trusties","2","18","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","18","0.07%"
"Court Order","0","393","1.60%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,241","20,762","84.35%"
"Intensive Supervision Program","0","1,606","6.52%"
"Earned Release Supervision Program","","1,791","7.28%"
"Medical Release","00","11","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,408","13.85%"
"Other Custody","","303","1.23%"
"Off-Grounds Medical (Hospital)","0","6","0.02%"
"At Large (Escapees & Walk-Aways)","0","135","0.55%"
"TOTAL","22,241","24,614","100.00%"
