"As of January 2, 2018","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","18,964","35.02%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,340","2.47%"
"Other Custody","457",".84%"
"At Large (Escapees & Walk-Aways)","29",".05%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","20,800","38.41%"
"PAROLEES","8,895","16.43%"
"TVC Parole","149","0.28%"
"PROBATIONERS","24,223","44.74%"
"TVC Probation","79","0.15%"
"PAROLEE AND PROBATIONER TOTAL","33,346","61.59%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,146","100.00%"
