"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,925","41.14%"
"Community Corrections (ERS, ISP, Medical Release)","2,867","5.38%"
"Other Custody","306","0.57%"
"At Large (Escapees & Walk-Aways)","86","0.16%"
"Off-Grounds Medical (Hospital)","10","0.02%"
"INMATE TOTAL","25,194","47.27%"
"PAROLEES","2,427","4.55%"
"PROBATIONERS","25,673","48.17%"
"PAROLEE AND PROBATIONER TOTAL","28,100","52.73%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,294","100.00%"
