"BY RACE/SEX AND LOCATION","","","","","","","","","","","","",""
"","Black","","White","","Hispanic","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","3,243","0","1,202","0","40","0","5","0","4","0","1","0","4,495"
"CMCF","1,048","778","576","623","7","7","2","1","1","4","0","1","3,048"
"SMCI","1,406","0","670","0","17","0","1","0","8","0","0","0","2,102"
"County Jails (approved)","874","56","561","84","12","1","3","0","4","0","7","1","1,603"
"County Jails (unapproved)","110","8","75","19","0","0","0","0","0","1","6","0","219"
"Private Prisons","3,516","0","1,198","0","18","0","3","0","6","0","0","0","4,741"
"Regional Correctional Facilities","1,995","0","713","0","18","0","1","0","3","0","0","0","2,730"
"Community Work Centers","1,050","106","452","86","5","0","1","0","4","0","0","0","1,704"
"Community Trusties","10","0","8","0","0","0","1","0","0","0","0","0","19"
"Pending File Review","160","14","109","19","0","0","0","0","0","1","0","0","303"
"","13,412","962","5,564","831","117","8","17","1","30","6","14","2","20,964"
"Intensive Supervison Program","614","115","507","167","5","0","2","3","1","1","8","3","1,426"
"Earned Release Supervision","1,125","115","402","60","5","1","2","0","1","0","0","0","1,711"
"Medical Release","3","0","1","1","0","0","0","0","0","0","0","0","5"
"Other Custody/At Large","178","11","137","15","16","0","0","0","0","0","0","0","357"
"Off-Grounds Medical (Hospital)","2","1","4","2","0","0","0","0","0","0","0","0","9"
"TOTAL","15,334","1,204","6,615","1,076","143","9","21","4","32","7","22","5","24,472"
"% OF TOTAL OFFENSES","62.66%","4.92%","27.03%","4.40%","0.58%","0.04%","0.09%","0.02%","0.13%","0.03%","0.09%","0.02%","100.00%"
