"BY RACE/SEX AND LOCATION","","","","","","","","","","","","",""
"","Black","","White","","Hispanic","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","3,921","1","1,359","2","22","0","2","0","4","0","1","0","5,312"
"CMCF","1,142","802","574","445","7","4","5","2","4","2","0","0","2,987"
"SMCI","1,386","0","569","0","15","0","1","0","4","0","0","0","1,975"
"County Jails (approved)","868","52","452","32","1","2","6","0","0","1","0","0","1,414"
"County Jails (unapproved)","53","9","41","5","0","0","0","0","0","0","0","0","108"
"Private Prisons","2,798","0","669","0","5","0","1","0","3","0","0","0","3,476"
"Regional Correctional Facilities","1,590","0","409","0","5","0","3","0","0","0","0","0","2,007"
"Community Work Centers","856","72","278","44","4","0","2","1","0","0","0","0","1,257"
"Community Trusties","17","0","7","0","0","0","0","0","0","0","0","0","24"
"","12,631","936","4,358","528","59","6","20","3","15","3","1","0","18,560"
"Intensive Supervison Program","583","101","386","103","2","1","0","0","4","0","0","0","1,180"
"Earned Release Supervision","663","63","203","31","8","2","0","1","0","0","0","0","971"
"Medical Release","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Other Custody","97","9","87","11","2","0","0","0","0","1","0","0","207"
"At Large","44","5","24","2","1","0","0","0","1","0","0","0","77"
"University of MS Medical Center","2","0","2","0","0","0","0","0","0","0","0","0","4"
"TOTAL","14,021","1,114","5,060","675","72","9","20","4","20","4","1","0","21,000"
"% of Total Offenses","66.77%","5.30%","24.10%","3.21%","0.34%","0.04%","0.10%","0.02%","0.10%","0.02%","0.00%","0.00%","100.00%"
