"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","19,436","34.67%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP)","1,425","2.54%"
"Other Custody","535",".95%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","21,430","38.23%"
"PAROLEES","7,054","12.58%"
"TVC Parole","181","0.32%"
"PROBATIONERS","27,234","48.59%"
"TVC Probation","153","0.27%"
"PAROLEE AND PROBATIONER TOTAL","34,622","61.77%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","56,052","100.00%"
