"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","18,255","48.02%",""
"Community Corrections (ERS, ISP, Medical Release)","2,141","5.63%",""
"Other Custody","201","0.53%",""
"At Large (Escapees & Walk-Aways)","70","0.18%",""
"University of MS Medical Center","5","0.01%",""
"","20,672","54.37%","Inmate Total"
"PAROLEES","1,674","4.40%",""
"PROBATIONERS","15,672","41.22%",""
"","17,346","45.63%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","38,018","100.00%",""
