"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","21,130","46.19%",""
"Community Corrections (ERS, ISP, Medical Release)","2,572","5.62%",""
"Other Custody","226","0.49%",""
"At Large (Escapees & Walk-Aways)","45","0.10%",""
"University of MS Medical Center","0","0.00%",""
"","23,973","52.41%","Inmate Total"
"PAROLEES","1,991","4.35%",""
"PROBATIONERS","19,777","43.24%",""
"","21,768","47.59%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","45,741","100.00%",""
