"As of October 10,2017","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","19,012","35.10%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,359","2.51%"
"Other Custody","455",".84%"
"At Large (Escapees & Walk-Aways)","30",".06%"
"Off-Grounds Medical (Hospital)","6",".01%"
"INMATE TOTAL","20,862","38.51%"
"PAROLEES","8,630","15.93%"
"TVC Parole","170","0.31%"
"PROBATIONERS","24,414","45.07%"
"TVC Probation","91","0.17%"
"PAROLEE AND PROBATIONER TOTAL","33,305","61.49%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,167","100.00%"
