"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS",""
"Mississippi State Penitentiary","4,892","4,796","34.67%",""
"Central Mississippi Correctional Facility","3,233","3,045","22.01%",""
"South Mississippi Correctional Institution","2,214","2,150","15.54%",""
"County Jails - Approved*","2,209","1,898","13.72%",""
"County Jails - Unapproved**","0","274","1.98%",""
"Community Work Centers","1816","1,669","12.07%",""
"","14,364","13,832","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","251","9.14%",""
"Carroll County Correctional Facility","250","252","9.17%",""
"George County Correctional Facility","250","250","9.10%",""
"Holmes County Correctional Facility","250","247","8.99%",""
"Issaquena County Correctional Facility","250","250","9.10%",""
"Jefferson County Correctional Facility","250","249","9.06%",""
"Kemper County Correctional Facility","250","251","9.14%",""
"Leake Correctional Facility","250","249","9.06%",""
"Marion County Correctional Facility","250","252","9.17%",""
"Stone County Correctional Facility","250","250","9.10%",""
"Winston County Correctional Facility","250","246","8.96%",""
"","2,750","2,747","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility","960","959","20.95%",""
"East MS Correctional Facility","1,000","865","18.89%",""
"Marshall County Correctional Facility","1,000","995","21.73%",""
"Walnut Grove Correctional Facility","1,000","763","16.67%",""
"Wilkinson County Correctional Facility","1,000","996","21.76%",""
"","4,960","4,578","100.00%","Private Prisons"
"Community Trusties","30","19","0.08%",""
"Emergency Suspension","00","00","0.00%",""
"Court Order","","","0.00%",""
"TOTAL CAPACITY & CUSTODY POPULATION","22,104","21,176","87.78%",""
"Intensive Supervision Program","0","1,306","5.41%",""
"Earned Release Supervision Program","","1,362","5.65%",""
"Medical Release","00","0","0.00%",""
"","00","2,668","11.06%","Community Corrections"
"Other Custody","","233","0.97%",""
"University of MS Medical Center","0","0","0.00%",""
"At Large (Escapees & Walk-Aways)","0","46","0.19%",""
"TOTAL","22,104","24,123","100.00%",""
