"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,529","35.82%"
"Community Corrections (ERS, ISP, Medical Release)","3,311","5.26%"
"Other Custody","498",".79%"
"At Large (Escapees & Walk-Aways)","32",".05%"
"Off-Grounds Medical (Hospital)","9",".01%"
"INMATE TOTAL","26,379","41.94%"
"PAROLEES","6,480","10.30%"
"PROBATIONERS","30,042","47.76%"
"PAROLEE AND PROBATIONER TOTAL","36,522","58.06%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","62,901","100.00%"
