"As of December 2, 2019","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","19,074","34.64%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,469","2.67%"
"Other Custody","486",".88%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","21,063","38.25%"
"PAROLEES","9,124","16.57%"
"TVC Parole","168","0.31%"
"PROBATIONERS","24,597","44.67%"
"TVC Probation","115","0.21%"
"PAROLEE AND PROBATIONER TOTAL","34,004","61.75%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55,067","100.00%"
