"As of January 2, 2019","",""
"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,136","35.72%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,376","2.57%"
"Other Custody","467",".87%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","21,015","39.22%"
"PAROLEES","8,834","16.49%"
"TVC Parole","328","0.61%"
"PROBATIONERS","23,284","43.46%"
"TVC Probation","116","0.22%"
"PAROLEE AND PROBATIONER TOTAL","32,562","60.78%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,577","100.00%"
