"Fact Sheet","",""
"As of August 1, 2018","",""
"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,131","35.70%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,340","2.50%"
"Other Custody","453",".85%"
"At Large (Escapees & Walk-Aways)","27",".05%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","20,962","39.12%"
"PAROLEES","8,788","16.40%"
"TVC Parole","257","0.48%"
"PROBATIONERS","23,476","43.81%"
"TVC Probation","102","0.19%"
"PAROLEE AND PROBATIONER TOTAL","32,623","60.88%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,585","100.00%"
