"BY LOCATION","","","",""
"","","NO. OF","% OF TOTAL",""
"","CAPACITY","OFFENDERS","OFFENDERS",""
"Mississippi State Penitentiary","5,551","5,344","40.82%",""
"Central Mississippi Correctional Facility","3,049","3,016","23.04%",""
"South Mississippi Correctional Institution","2,214","2,052","15.67%",""
"County Jails - Approved*","2,146","1,332","10.17%",""
"County Jails - Unapproved**","0","44","0.34%",""
"Community Work Centers","1320","1,303","9.95%",""
"","14,280","13,091","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","1","0.05%",""
"Carroll County Correctional Facility","250","222","11.07%",""
"Holmes County Correctional Facility","250","218","10.87%",""
"Issaquena County Correctional Facility","250","219","10.92%",""
"Jefferson County Correctional Facility","250","228","11.37%",""
"Kemper County Correctional Facility","250","242","12.07%",""
"Leake Correctional Facility","250","218","10.87%",""
"Marion County Correctional Facility","250","219","10.92%",""
"Stone County Correctional Facility","250","220","10.97%",""
"Winston County Correctional Facility","250","218","10.87%",""
"","2,500","2,005","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility","1,000","861","23.87%",""
"East MS Correctional Facility","500","502","13.92%",""
"Marshall County Correctional Facility","1,000","886","24.56%",""
"Walnut Grove Correctional Facility","500","507","14.06%",""
"Wilkinson County Correctional Facility","900","851","23.59%",""
"","3,900","3,607","100.00%","Private Prisons"
"Community Trusties","30","23","0.11%",""
"Emergency Suspension","","5","0.02%",""
"Court Order","","207","0.95%",""
"TOTAL CAPACITY & CUSTODY POPULATION","20,710","18,938","87.07%",""
"Intensive Supervision Program","","1,457","6.70%",""
"Earned Release Supervision Program","","1,040","4.78%",""
"Medical Release","0 0 0 0 0","0","0.00%",""
"","","2,497","11.48%","Community Corrections"
"Other Custody","","218","1.00%",""
"University of MS Medical Center","0","7","0.03%",""
"At Large (Escapees & Walk-Aways)","0","91","0.42%",""
"TOTAL","20,710","21,751","100.00%","00"
