"","INMATE CUSTODY POPULATION (continued)","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,754","","67.84%","","","","680","","","41.77%","","","","14,434","","","","65.91%"
"White
6,311","","31.13%","","","","933","","","57.31%","","","","7,244","","","","33.08%"
"Hispanic
157","",".77%","","","","11","","",".68%","","","","168","","","",".77%"
"Native American
16","",".08%","","","","","","",".12%","","","","18","","","",".08%"
"Asian
29","",".14%","","","","2 2","","",".12%","","","","31","","","",".14%"
"Data Unavailable
6","",".03%","","","","0","","",".00%","","","","6","","","",".03%"
"TOTAL
20,273","","100.00%","","","","1,628","","","100.00%","","","","21,901","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,238","","0","1,025","0","","17","0","","1","0","4","","0","0","0","3,285"
"CMCF","1,352","","433","772","519","","25","8","","3","2","3","","1","1","0","3,119"
"SMCI","2,126","","0","1,002","0","","42","0","","4","0","2","","0","0","0","3,176"
"County Jails (approved)","711","","45","432","75","","7","1","","2","0","1","","0","1","0","1,275"
"County Jails (unapproved)","339","","4","222","13","","1","0","","0","0","1","","0","2","0","582"
"Private Prisons","3,110","","0","1,044","0","","21","0","","3","0","9","","0","0","0","4,187"
"Regional Correctional Facilities","2,715","","125","1,204","161","","37","1","","2","0","4","","1","2","0","4,252"
"Community Work Centers","901","","63","440","143","","3","1","","1","0","3","","0","0","0","1,555"
"Community Trusties","8","","0","2","0","","0","0","","0","0","0","","0","0","0","10"
"Pending File Review","39","","5","20","2","","1","0","","0","0","0","","0","0","0","67"
"Court Order","215","","5","148","20","","3","0","","0","0","2","","0","0","0","393"
"CUSTODY POPULATION","13,754","","680","6,311","933","","157","11","","16","2","29","","2","6","0","21,901"
"Intensive Supervison Program","602","","152","531","250","","6","1","","3","1","1","","0","1","1","1,549"
"Earned Release Supervision","999","","86","449","77","","6","0","","0","0","2","","0","0","0","1,619"
"Medical Release","16","","1","4","1","","0","0","","0","0","0","","0","0","0","22"
"Other Custody","200","","11","154","19","","43","4","","0","1","2","","0","4","0","438"
"At Large","22","","0","11","2","","3","0","","0","0","0","","0","0","0","38"
"Off-Grounds Medical (Hospital)","2","","1","2","0","","0","0","","0","0","0","","0","0","0","5"
"TOTAL","15,595","","931","7,462","1,282","","215","16","","19","4","34","","2","11","1","25,572"
"% OF TOTAL OFFENDERS","60.98%","","3.64%","29.18%","5.01%","",".84%",".06%","",".07%",".02%",".13%","",".01%",".04%",".00%","100.00%"
