"Fact Sheet","",""
"As of March 1, 2019","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","19,159","35.49%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,372","2.54%"
"Other Custody","481",".89%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","21,044","38.99%"
"PAROLEES","8,853","16.40%"
"TVC Parole","306","0.57%"
"PROBATIONERS","23,661","43.84%"
"TVC Probation","113","0.21%"
"PAROLEE AND PROBATIONER TOTAL","32,933","61.01%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,977","100.00%"
