"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","Fact Sheet","",""
"","","","As of November 1, 2004","",""
"COMMUNITY CORRECTIONS STATISTICS","","","","",""
"ACTIVE CASELOADS","","","","",""
"","NO. OF","% of TOTAL","","",""
"STATUS","OFFENDERS","OFFENDERS","","",""
"Probation","16,518","63.97%","","",""
"Compact Probation","1,062","4.11%","","",""
"Nonadjudicated","928","3.59%","","",""
"Post Release","2,389","9.25%","","",""
"","20,897","80.93%","Probation Total","",""
"Parole","1,684","6.52%","","",""
"Compact Parole","414","1.60%","","",""
"Suspension","0","0.00%","","",""
"","2,098","8.12%","Parole Total","",""
"Intensive Supervision Program - Court","899","3.48%","","",""
"Intensive Supervision Program - Prison","359","1.39%","","",""
"Earned Release Supervision","1,566","6.06%","","",""
"Medical Release","3","0.01%","","",""
"","2,827","10.95%","Community Inmate Total","",""
"TOTAL","25,822","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
9,371","58.83%","2,547","51.27%","11,918","57.03%"
"White
6,277","39.41%","2,318","46.66%","8,595","41.13%"
"Hispanic
101","0.63%","15","0.30%","116","0.56%"
"Native American
19","0.12%","4","0.08%","23","0.11%"
"Asian
39","0.24%","17","0.34%","56","0.27%"
"Data Unavailable
122","0.77%","67","1.35%","189","0.90%"
"TOTAL
15,929","100.00%","4,968","100.00%","20,897","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent 
2,357","11.28%","","","",""
"Property 
11,271","53.94%","","","",""
"Drug 
7,269","34.78%","","","",""
"TOTAL
20,897","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,147","64.15%","133","42.90%","1,280","61.01%"
"White
627","35.07%","171","55.16%","798","38.04%"
"Hispanic
8","0.45%","4","1.29%","12","0.57%"
"Native American
3","0.17%","0","0.00%","33","0.14%"
"Asian
1","0.06%","2","0.65%","","0.14%"
"Data Unavailable
2","0.11%","0","0.00%","2","0.10%"
"TOTAL
1,788","100.00%","310","100.00%","2,098","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent 
524","24.98%","","","",""
"Property 
786","37.46%","","","",""
"Drug 
788","37.56%","","","",""
"TOTAL
2,098","100.00%","","","",""
