"","Fact Sheet","",""
"","","As of Janurary 3, 2020",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","8",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","124",".56%"
"TVC","0","68",".31%"
"Transitional Housing","0","9",".04%"
"Court Order","0","203",".92%"
"RRP","0","85",".39%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","20,067","90.98%"
"Intensive Supervision Program","0","876","3.97%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","568","2.58%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","16","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,469","6.66%"
"Other Custody","0","486","2.20%"
"Off-Grounds Medical (Hospital)","0","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","24,225","22,056","100.00%"
