"","Fact Sheet","",""
"","","As of June 3, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","7",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","139",".65%"
"TVC","0","73",".34%"
"Transitional Housing","0","25",".12%"
"Court Order","0","284","1.34%"
"RRP","0","67",".32%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,307","90.89%"
"Intensive Supervision Program","0","823","3.87%"
"Conditional Release","0","2","0.01%"
"Earned Release Supervision Program","0","575","2.71%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","13","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1,419","6.68%"
"Other Custody","","487","2.29%"
"Off-Grounds Medical (Hospital)","","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","23,881","21,243","00
00
100.00%"
