"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","20,735","40.20%"
"Community Corrections (ERS, ISP, Medical Release)","3,544","6.87%"
"Other Custody","295","0.57%"
"At Large (Escapees & Walk-Aways)","112","0.22%"
"Off-Grounds Medical (Hospital)","7","0.01%"
"INMATE TOTAL","24,693","47.87%"
"PAROLEES","2,499","4.84%"
"PROBATIONERS","24,388","47.28%"
"PAROLEE AND PROBATIONER TOTAL","26,887","52.13%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51,580","100.00%"
