"Data Unavailable
5","",".02%","","0","",".00%","5",".02%"
"TOTAL
20,666","","100.00%","","1,679","","100.00%","22,345","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","",""
"","","Black","White","","Hispanic","Native American","Asian","TOTAL
Data Unavailable"
"LOCATION","Male","Female","Male
Female","","Male
Female","Male
Female","Male
Female","Male
Female"
"MSP","2,296","0","1,043
0","","12
0","0
0","3
0","0
0
3,354"
"CMCF","1,473","447","820
519","","20
4","3
2","9
0","1
0
3,298"
"SMCI","2,159","0","1,032
0","","44
0","5
0","8
0","0
0
3,248"
"Youthful Offender Facility","19","0","3
0","","1
0","0
0","0
0","0
0
23"
"County Jails (approved)","858","37","530
62","","5
0","4
0","7
0","2
0
1,505"
"County Jails (unapproved)","145","8","81
17","","1
0","1
0","0
0","1
0
254"
"Private Prisons","3,260","0","1,050
0","","28
0","2
0","3
0","0
0
4,343"
"Regional Correctional Facilities","2,717","140","1,282
153","","41
2","2
1","11
0","0
0
4,349"
"Community Work Centers","769","77","451
169","","4
1","2
0","2
0","1
0
1,476"
"Community Trusties","7","0","3
0","","0
0","0
0","0
0","0
0
10"
"Pending File Review","31","3","22
5","","1
0","0
1","0
0","0
0
63"
"Court Order","231","10","158
21","","2
0","0
0","0
0","0
0
422"
"","13,965","722","6,475
946","","159
7","19
4","43
0","5
0
22,345"
"Intensive Supervison Program","658","154","543
281","","6
1","3
0","4
2","5
0
1,657"
"Earned Release Supervision","1,004","92","422
78","","3
0","0
0","2
1","0
0
1,602"
"Medical Release","18","1","7
2","","0
0","0
0","0
0","0
0
28"
"Other Custody","205","10","160
26","","45
5","0
1","2
0","4
0
458"
"At Large","21","0","8
2","","3
0","0
0","0
0","0
0
34"
"Off-Grounds Medical (Hospital)","9","0","1
1","","0
0","0
0","0
0","0
0
11"
"TOTAL","15,880","979","7,616
1,336","","216
13","22
5","51
3","14
0
26,135"
"% OF TOTAL OFFENDERS","60.76%","3.75%","29.14%
5.11%","",".83%
.05%",".08%
.02%",".20%
.01%",".05%
.00%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","","",""
"","","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","774","751","","169","1,193","467","3,354"
"CMCF","","899","1,110","","161","784","344","3,298"
"SMCI","","723","812","","191","1,006","516","3,248"
"Youthful Offender Facility","","0","4","","1","13","5","23"
"County Jails (approved)","","767","632","","17","52","37","1,505"
"County Jails (unapproved)","","83","136","","5","21","9","254"
"Private Prisons","","482","880","","268","2,089","624","4,343"
"Regional Correctional Facilities","","960","1,117","","302","1,180","790","4,349"
"Community Work Centers","","904","568","","0","4","0","1,476"
"Community Trusties","","","","","0","0","0","10"
"Pending File Review","","7 2
1","3 2
3","","4","11","4","63"
"Court Order","","149","183","","10","57","23","422"
"TOTAL CUSTODY POPULATION","","5,769","6,219","","1,128","6,410","2,819","22,345"
"% OF TOTAL OFFENSES","","25.82%","27.83%","","5.05%","28.69%","12.62%","100.00%"
"Intensive Supervison Program","","794","789","","18","49","7","1,657"
"Earned Release Supervision","","507","513","","186","392","4","1,602"
"Medical Release","","12","8","","2","6","","28"
"Other Custody","","193","167","","13","66","0 1
9","458"
"At Large","","","0","","0","7","","34"
"Off-Grounds Medical (Hospital)","","7 1","72","","0","3","0 0","11"
"TOTAL","","7,283","7,723","","1,347","6,933","2,849","26,135"
"% OF TOTAL OFFENSES","","27.87%","29.55%","","5.15%","26.53%","10.90%","100.00%"
