"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,389","40.96%"
"Community Corrections (ERS, ISP, Medical Release)","3,244","6.21%"
"Other Custody","307","0.59%"
"At Large (Escapees & Walk-Aways)","127","0.24%"
"Off-Grounds Medical (Hospital)","5","0.01%"
"INMATE TOTAL","25,072","48.02%"
"PAROLEES","2,396","4.59%"
"PROBATIONERS","24,749","47.40%"
"PAROLEE AND PROBATIONER TOTAL","27,145","51.98%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","52,217","100.00%"
