"ACTIVE OFFENDER POPULATION",""
"BY TYPE",""
"NO. OF","% OF TOTAL"
"OFFENDERS","OFFENDERS"
"INMATES",""
"Custody Population (Inmate and RID status)
18,976","35.22%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report)
1,386","2.57%"
"Other Custody
498",".92%"
"At Large (Escapees & Walk-Aways)
28",".05%"
"Off-Grounds Medical (Hospital)
11",".02%"
"20,899
INMATE TOTAL","38.79%"
"PAROLEES
7,894","14.65%"
"TVC Parole
104","0.19%"
"PROBATIONERS
24,827","46.08%"
"TVC Probation
154","0.29%"
"32,979
PAROLEE AND PROBATIONER TOTAL","61.21%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS 
53,878","100.00%"
