"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,648","3,333","25.67%"
"Central Mississippi Correctional Facility","3,665","3,165","24.38%"
"South Mississippi Correctional Institution","3,282","3,199","24.64%"
"County Jails - Approved*","1,753","1,359","10.47%"
"County Jails - Unapproved**","0","316","2.43%"
"Community Work Centers","1,848","1,611","12.41%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,196","12,983","100.00%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","294","6.79%"
"Bolivar County Correctional Facility","369","369","8.52%"
"Carroll County Correctional Facility","280","279","6.44%"
"Chickasaw County Correctional Facility","300","298","6.88%"
"George County Correctional Facility","280","280","6.46%"
"Holmes County Correctional Facility","280","280","6.46%"
"Issaquena County Correctional Facility","274","274","6.33%"
"Jefferson County Correctional Facility","280","277","6.39%"
"Kemper County Correctional Facility","355","338","7.80%"
"Leake County Correctional Facility","280","278","6.42%"
"Marion County Correctional Facility","280","279","6.44%"
"Stone County Correctional Facility","280","279","6.44%"
"Washington County Correctional Facility","300","230","5.31%"
"Winston County Correctional Facility","280","279","6.44%"
"Yazoo County Correctional Facility","300","298","6.88%"
"TOTAL REGIONAL FACILITIES","4,438","4,332","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,312","30.70%"
"Marshall County Correctional Facility","1,000","997","23.33%"
"Walnut Grove Correctional Facility","1,500","1,060","24.80%"
"Wilkinson County Correctional Facility","1,000","905","21.17%"
"TOTAL PRIVATE PRISONS","5,972","4,274","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","54",".21%"
"Court Order","0","307","1.20%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,628","21,962","85.63%"
"Intensive Supervision Program","0","1,557","6.07%"
"Earned Release Supervision Program","","1,612","6.28%"
"Medical Release","00","22",".09%"
"TOTAL COMMUNITY CORRECTIONS","","3,191","12.44%"
"Other Custody","0000","449","1.75%"
"Off-Grounds Medical (Hospital)","","12",".05%"
"At Large (Escapees & Walk-Aways)","","35",".14%"
"TOTAL","25,628","25,649","100.00%"
