"Fact Sheet","",""
"As of May 1, 2018","",""
"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,215","35.79%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,348","2.51%"
"Other Custody","444",".83%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","14",".03%"
"INMATE TOTAL","21,049","39.21%"
"PAROLEES","8,651","16.11%"
"TVC Parole","192","0.36%"
"PROBATIONERS","23,699","44.15%"
"TVC Probation","93","0.17%"
"PAROLEE AND PROBATIONER TOTAL","32,635","60.79%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,684","100.00%"
