"COUNTY","Offenders","Percent"
"ADAMS","57","0.68%"
"ALCORN","128","1.53%"
"AMITE","15","0.18%"
"ATTALA","53","0.63%"
"BENTON","22","0.26%"
"BOLIVAR","50","0.60%"
"CALHOUN","48","0.57%"
"CARROLL","17","0.20%"
"CHICKASAW","71","0.85%"
"CHOCTAW","18","0.21%"
"CLAIBORN","12","0.14%"
"CLARKE","55","0.66%"
"CLAY","78","0.93%"
"COAHOMA","42","0.50%"
"COPIAH","63","0.75%"
"COVINGTON","26","0.31%"
"+ DESOTO","378","4.51%"
"+ FORREST","291","3.47%"
"FRANKLIN","24","0.29%"
"GEORGE","74","0.88%"
"GREENE","33","0.39%"
"GRENADA","73","0.87%"
"HANCOCK","125","1.49%"
"+ HARRISON","835","9.97%"
"+ HINDS","415","4.96%"
"HOLMES","22","0.26%"
"HUMPHREYS","11","0.13%"
"ITAWAMBA","76","0.91%"
"+ JACKSON","431","5.15%"
"JASPER","33","0.39%"
"JEFF","15","0.18%"
"JEFFERSON","14","0.17%"
"+ JONES","235","2.81%"
"KEMPER","26","0.31%"
"LAFAYETTE","109","1.30%"
"LAMAR","100","1.19%"
"+ LAUDERDALE","291","3.47%"
"LAWRENCE","36","0.43%"
"LEAKE","71","0.85%"
"+ LEE","332","3.96%"
"LEFLORE","71","0.85%"
"LINCOLN","118","1.41%"
"LOWNDES","227","2.71%"
"+ MADISON","303","3.62%"
"MARION","124","1.48%"
"MARSHALL","90","1.07%"
"MONROE","111","1.33%"
"MONTGOMERY","32","0.38%"
"NESHOBA","105","1.25%"
"NEWTON","31","0.37%"
"NOXUBEE","16","0.19%"
"OKTIBBEHA","112","1.34%"
"PANOLA","100","1.19%"
"PEARL","233","2.78%"
"PERRY","25","0.30%"
"PIKE","142","1.70%"
"PONTOTOC","90","1.07%"
"PRENTISS","116","1.39%"
"QUITMAN","5","0.06%"
"+ RANKIN","395","4.72%"
"SCOTT","114","1.36%"
"SHARKEY","11","0.13%"
"SIMPSON","38","0.45%"
"SMITH","19","0.23%"
"STONE","51","0.61%"
"SUNFLOWER","33","0.39%"
"TALLAHATCHIE","22","0.26%"
"TATE","55","0.66%"
"TIPPAH","57","0.68%"
"TISHOMINGO","49","0.59%"
"TUNICA","20","0.24%"
"UNION","108","1.29%"
"UNAVAILABLE","28","0.33%"
"WALTHALL","35","0.42%"
"WARREN","117","1.40%"
"WASHINGTON","153","1.83%"
"WAYNE","49","0.59%"
"WEBSTER","24","0.29%"
"WILKINSON","13","0.16%"
"WINSTON","30","0.36%"
"YALOBUSHA","39","0.47%"
"YAZOO","59","0.70%"
"TOTAL","8,375","100.00%"
