"County","Offenders","Percent"
"ADAMS","3","0.39%"
"ALCORN","10","1.31%"
"AMITE","2","0.26%"
"ATTALA","3","0.39%"
"BENTON","1","0.13%"
"BOLIVAR","8","1.05%"
"CALHOUN","3","0.39%"
"CARROLL","2","0.26%"
"CHICKASAW","11","1.45%"
"CLAIBORN","3","0.39%"
"CLARKE","10","1.31%"
"CLAY","10","1.31%"
"COAHOMA","3","0.39%"
"COPIAH","3","0.39%"
"COVINGTON","2","0.26%"
"DESOTO","22","2.89%"
"FORREST","23","3.02%"
"FRANKLIN","1","0.13%"
"GEORGE","11","1.45%"
"GREENE","4","0.53%"
"GRENADA","6","0.79%"
"HANCOCK","8","1.05%"
"HARRISON","69","9.07%"
"HINDS","47","6.18%"
"HOLMES","3","0.39%"
"HUMPHREYS","2","0.26%"
"ITAWAMBA","9","1.18%"
"JACKSON","33","4.34%"
"JASPER","4","0.53%"
"JEFFERSON","1","0.13%"
"JONES","33","4.34%"
"KEMPER","3","0.39%"
"LAFAYETTE","12","1.58%"
"LAMAR","6","0.79%"
"LAUDERDALE","21","2.76%"
"LAWRENCE","4","0.53%"
"LEAKE","5","0.66%"
"LEE","31","4.07%"
"LEFLORE","5","0.66%"
"LINCOLN","7","0.92%"
"LOWNDES","18","2.37%"
"MADISON","32","4.20%"
"MARION","11","1.45%"
"MARSHALL","10","1.31%"
"MONROE","11","1.45%"
"MONTGOMERY","5","0.66%"
"NESHOBA","10","1.31%"
"NEWTON","2","0.26%"
"NOXUBEE","2","0.26%"
"OKTIBBEHA","7","0.92%"
"PANOLA","13","1.71%"
"PEARL","23","3.02%"
"PERRY","1","0.13%"
"PIKE","16","2.10%"
"PONTOTOC","9","1.18%"
"PRENTISS","7","0.92%"
"RANKIN","31","4.07%"
"SCOTT","14","1.84%"
"SHARKEY","2","0.26%"
"SIMPSON","3","0.39%"
"SMITH","3","0.39%"
"SUNFLOWER","3","0.39%"
"TALLAHATCHIE","3","0.39%"
"TATE","4","0.53%"
"TIPPAH","5","0.66%"
"TISHOMINGO","6","0.79%"
"TUNICA","3","0.39%"
"UNION","9","1.18%"
"UNAVAILABLE","3","0.39%"
"WALTHALL","5","0.66%"
"WARREN","12","1.58%"
"WASHINGTON","14","1.84%"
"WAYNE","4","0.53%"
"WEBSTER","2","0.26%"
"WILKINSON","1","0.13%"
"WINSTON","2","0.26%"
"YALOBUSHA","3","0.39%"
"YAZOO","8","1.05%"
"Total","761","100.00%"
