"OFFENSE","Male","Female","Total","Percent"
"CHILD ENDANGERMENT                                           4","","10","14","3.76%"
"CHILD MOLESTATION","6","0","6","1.61%"
"CHILD PORNOGRAPHY                                            4","","0","4","1.08%"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","3","0","3","0.81%"
"ENTICE CHILD FOR INDECENT PURPOSES","2","0","2","0.54%"
"EXPLOITATION/CHILD","24","1","25","6.72%"
"FONDLING","30","0","30","8.06%"
"FONDLING A CHILD","7","0","7","1.88%"
"FORCIBLE SEXUAL INTERCOURSE","3","0","3","0.81%"
"GRATIFICATION/LUST","15","1","16","4.30%"
"HUMAN TRAFFICKING","3","0","3","0.81%"
"KIDNAP MINOR","3","0","3","0.81%"
"RAPE","8","0","8","2.15%"
"","SEXUAL BATTERY                                               132","9","141","37.90%"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","1","0","1","0.27%"
"STATUTORY RAPE","52","1","53","14.25%"
"UNLAWFUL TOUCHING/CHILD                                     42","","1","43","11.56%"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING                    1","","0","1","0.27%"
"UNNATURAL INTERCOURSE                                        3","","0","3","0.81%"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT                 3","","0","3","0.81%"
"PROCURING SEXUAL SERVITUDE OF A MINOR                        1","","0","1","0.27%"
"SEX OFFENSE","1","0","1","0.27%"
"INCEST","1","0","1","0.27%"
"TOTAL","349","23","372","100.00%"
