"County","Offenders","Percent"
"ADAMS","2","0.54%"
"ALCORN","7","1.88%"
"AMITE","1","0.27%"
"ATTALA","2","0.54%"
"BOLIVAR","5","1.34%"
"CALHOUN","4","1.08%"
"CHICKASAW","7","1.88%"
"CHOCTAW","1","0.27%"
"CLARKE","1","0.27%"
"COAHOMA","5","1.34%"
"COPIAH","1","0.27%"
"COVINGTON","2","0.54%"
"+ DESOTO","22","5.91%"
"+ FORREST","14","3.76%"
"GEORGE","3","0.81%"
"GRENADA","3","0.81%"
"HANCOCK","7","1.88%"
"+ HARRISON","25","6.72%"
"+ HINDS","11","2.96%"
"HOLMES","2","0.54%"
"HUMPHREYS","1","0.27%"
"ITAWAMBA","2","0.54%"
"+ JACKSON","18","4.84%"
"+ JONES","16","4.30%"
"KEMPER","1","0.27%"
"LAFAYETTE","2","0.54%"
"+ LAMAR","12","3.23%"
"LAUDERDALE","10","2.69%"
"LAWRENCE","2","0.54%"
"LEAKE","3","0.81%"
"+ LEE","13","3.49%"
"LEFLORE","3","0.81%"
"LINCOLN","5","1.34%"
"LOWNDES","10","2.69%"
"MADISON","9","2.42%"
"MARION","7","1.88%"
"MARSHALL","4","1.08%"
"MONROE","2","0.54%"
"MONTGOMERY","1","0.27%"
"NESHOBA","3","0.81%"
"NOXUBEE","3","0.81%"
"OKTIBBEHA","7","1.88%"
"PANOLA","8","2.15%"
"+ PEARL","11","2.96%"
"PIKE","5","1.34%"
"PONTOTOC","7","1.88%"
"PRENTISS","5","1.34%"
"RANKIN","10","2.69%"
"SCOTT","5","1.34%"
"SIMPSON","3","0.81%"
"SMITH","1","0.27%"
"STONE","1","0.27%"
"SUNFLOWER","1","0.27%"
"TALLAHATCHIE","3","0.81%"
"TATE","3","0.81%"
"TIPPAH","9","2.42%"
"TUNICA","3","0.81%"
"+ UNION","11","2.96%"
"WALTHALL","3","0.81%"
"WARREN","4","1.08%"
"WASHINGTON","3","0.81%"
"WAYNE","4","1.08%"
"WINSTON","4","1.08%"
"YALOBUSHA","5","1.34%"
"YAZOO","4","1.08%"
"TOTAL","372","100.00%"
