"County","Offenders","Percent"
"ADAMS","13","0.45%"
"ALCORN","46","1.60%"
"AMITE","5","0.17%"
"ATTALA","19","0.66%"
"BENTON","7","0.24%"
"BOLIVAR","8","0.28%"
"CALHOUN","19","0.66%"
"CARROLL","3","0.10%"
"CHICKASAW","34","1.19%"
"CHOCTAW","7","0.24%"
"CLARKE","21","0.73%"
"CLAY","27","0.94%"
"COAHOMA","8","0.28%"
"COPIAH","19","0.66%"
"COVINGTON","10","0.35%"
"DESOTO","140","4.88%"
"FORREST","89","3.10%"
"FRANKLIN","7","0.24%"
"GEORGE","44","1.53%"
"GREENE","20","0.70%"
"GRENADA","22","0.77%"
"HANCOCK","65","2.27%"
"HARRISON","356","12.41%"
"HINDS","70","2.44%"
"HUMPHREYS","2","0.07%"
"ITAWAMBA","31","1.08%"
"JACKSON","145","5.05%"
"JASPER","10","0.35%"
"JEFF","6","0.21%"
"JEFFERSON","4","0.14%"
"JONES","85","2.96%"
"KEMPER","6","0.21%"
"LAFAYETTE","44","1.53%"
"LAMAR","31","1.08%"
"LAUDERDALE","88","3.07%"
"LAWRENCE","12","0.42%"
"LEAKE","28","0.98%"
"LEE","140","4.88%"
"LEFLORE","14","0.49%"
"LINCOLN","42","1.46%"
"LOWNDES","102","3.56%"
"MADISON","93","3.24%"
"MARION","34","1.19%"
"MARSHALL","29","1.01%"
"MONROE","41","1.43%"
"MONTGOMERY","5","0.17%"
"NESHOBA","35","1.22%"
"NEWTON","9","0.31%"
"NOXUBEE","3","0.10%"
"OKTIBBEHA","36","1.25%"
"PANOLA","37","1.29%"
"PEARL","89","3.10%"
"PERRY","14","0.49%"
"PIKE","43","1.50%"
"PONTOTOC","36","1.25%"
"PRENTISS","53","1.85%"
"QUITMAN","1","0.03%"
"RANKIN","128","4.46%"
"SCOTT","44","1.53%"
"SIMPSON","19","0.66%"
"SMITH","6","0.21%"
"STONE","26","0.91%"
"SUNFLOWER","3","0.10%"
"TALLAHATCHIE","3","0.10%"
"TATE","19","0.66%"
"TIPPAH","19","0.66%"
"TISHOMINGO","17","0.59%"
"TUNICA","2","0.07%"
"UNION","42","1.46%"
"UNAVAILABLE","8","0.28%"
"WALTHALL","14","0.49%"
"WARREN","31","1.08%"
"WASHINGTON","24","0.84%"
"WAYNE","17","0.59%"
"WEBSTER","9","0.31%"
"WILKINSON","2","0.07%"
"WINSTON","6","0.21%"
"YALOBUSHA","10","0.35%"
"YAZOO","13","0.45%"
"TOTAL","2,869","100.00%"
