Entry Type,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,April,May,June,Total,Percent
OTHER,0,0,0,0,0,3,0,0,0,1,1,0,5,0.06%
FEDERAL INMATE,0,0,0,0,0,1,0,0,0,0,0,0,1,0.01%
NEW PRISONER,299,432,366,292,293,397,276,388,445,336,332,383,4239,50.61%
RETURN HOUSE ARREST,12,12,8,15,12,16,11,20,18,13,8,14,159,1.90%
PROBATION REVOKED,194,222,192,177,128,179,118,192,196,160,170,215,2143,25.59%
NON-ADJUDICATED RID,0,0,1,1,0,0,0,0,0,0,0,0,2,0.02%
PAROLE VIOLATORS,117,137,145,143,128,148,192,168,148,95,121,164,1706,20.37%
RETURN ERS,11,12,6,14,13,3,7,10,9,7,7,9,108,1.29%
RETURN MEDICAL,0,0,0,0,0,1,0,0,0,0,0,0,1,0.01%
RECIDIVISM REDUCTION PROGRAM,0,0,0,0,1,0,0,1,4,1,2,2,11,0.13%
Total,633,815,718,642,575,748,604,778,816,612,639,785,"8,375",100.00%
