"County","Offenders","Percent"
"Adams","1","2.63%"
"Alcorn","1","2.63%"
"Amite","0","0.00%"
"Attala","0","0.00%"
"Benton","0","0.00%"
"Bolivar","1","2.63%"
"Calhoun","0","0.00%"
"Carroll","0","0.00%"
"Chickasaw","1","2.63%"
"Choctaw","0","0.00%"
"Claiborn","0","0.00%"
"Clarke","1","2.63%"
"Clay","1","2.63%"
"Coahoma","0","0.00%"
"Copiah","0","0.00%"
"Covington","0","0.00%"
"Desoto","0","0.00%"
"+ Forrest","2","5.26%"
"+Franklin","2","5.26%"
"+George","1","2.63%"
"Greene","0","0.00%"
"Grenada","0","0.00%"
"Hancock","0","0.00%"
"+ Harrison","2","5.26%"
"+ Hinds","7","18.42%"
"Holmes","0","0.00%"
"Humphreys","0","0.00%"
"Issaquena","0","0.00%"
"Itawamba","0","0.00%"
"Jackson","0","0.00%"
"Jasper","0","0.00%"
"Jeff","0","0.00%"
"Jefferson","0","0.00%"
"Jones","1","2.63%"
"Kemper","0","0.00%"
"Lafayette","0","0.00%"
"Lamar","0","0.00%"
"+Lauderdale","2","5.26%"
"Lawrence","0","0.00%"
"Leake","0","0.00%"
"Lee","0","0.00%"
"Leflore","0","0.00%"
"+Lincoln","2","5.26%"
"Lowndes","0","0.00%"
"+Madison","2","5.26%"
"Marion","0","0.00%"
"+Marshall","1","2.63%"
"Monroe","0","0.00%"
"Montgomery","0","0.00%"
"Neshoba","0","0.00%"
"Newton","0","0.00%"
"Noxubee","0","0.00%"
"Oktibbeha","0","0.00%"
"Panola","1","2.63%"
"Pearl","1","2.63%"
"Perry","0","0.00%"
"+Pike","4","10.53%"
"Pontotoc","0","0.00%"
"Prentiss","0","0.00%"
"Quitman","0","0.00%"
"Rankin","1","2.63%"
"Scott","0","0.00%"
"Sharkey","0","0.00%"
"Simpson","0","0.00%"
"Smith","0","0.00%"
"Stone","0","0.00%"
"Sunflower","0","0.00%"
"Tallahatchie","0","0.00%"
"Tate","0","0.00%"
"Tippah","0","0.00%"
"Tishomingo","0","0.00%"
"Tunica","0","0.00%"
"Unavailable","0","0.00%"
"Union","0","0.00%"
"Walthall","0","0.00%"
"Warren","1","2.63%"
"Washington","1","2.63%"
"Wayne","0","0.00%"
"Webster","0","0.00%"
"Wilkinson","0","0.00%"
"Winston","0","0.00%"
"Yalobusha","0","0.00%"
"Yazoo","1","2.63%"
"TOTAL","38","100.00%"
