"OFFENSE","Black","White","Hispanic","Other","Total"
"CHILD ENDANGERMENT","1","3","0","0","4"
"CHILD MOLESTATION","0","6","0","0","6"
"CHILD PORNOGRAPHY","0","4","0","0","4"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","0","3","0","0","3"
"ENTICE CHILD FOR INDECENT PURPOSES","0","2","0","0","2"
"EXPLOITATION/CHILD","5","19","0","0","24"
"FONDLING","11","18","1","0","30"
"FONDLING A CHILD","2","5","0","0","7"
"FORCIBLE SEXUAL INTERCOURSE","1","2","0","0","3"
"GRATIFICATION/LUST","8","6","1","0","15"
"HUMAN TRAFFICKING","3","0","0","0","3"
"KIDNAP MINOR","2","1","0","0","3"
"RAPE","7","1","0","0","8"
"SEXUAL BATTERY","67","63","0","2","132"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","0","1","0","0","1"
"STATUTORY RAPE","33","17","1","1","52"
"UNLAWFUL TOUCHING/CHILD                                      14","","27","1","0","42"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING                     0","","1","0","0","1"
"UNNATURAL INTERCOURSE","3","0","0","0","3"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT                  0","","3","0","0","3"
"PROCURING SEXUAL SERVITUDE OF A MINOR","1","0","0","0","1"
"SEX OFFENSE","1","0","0","0","1"
"INCEST","1","0","0","0","1"
"Total","157","182","4","3","349"
