"OFFENSE","Black","White","Hispanic","Other","Total"
"CHILD ENDANGERMENT","1","9","0","0","10"
"CHILD MOLESTATION","0","0","0","0","0"
"CHILD NEGLECT - SEX OFFENSE","0","0","0","0","0"
"CHILD PORNOGRAPHY","0","0","0","0","0"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","0","0","0","0","0"
"ENTICE CHILD FOR INDECENT PURPOSES","0","0","0","0","0"
"EXPLOITATION/CHILD","0","1","0","0","1"
"FONDLING","0","0","0","0","0"
"FONDLING A CHILD","0","0","0","0","0"
"FORCIBLE SEXUAL INTERCOURSE","0","0","0","0","0"
"GRATIFICATION/LUST","0","1","0","0","1"
"HUMAN TRAFFICKING","0","0","0","0","0"
"KIDNAP MINOR","0","0","0","0","0"
"RAPE","0","0","0","0","0"
"SEXUAL ABUSE - VULNERABLE ADULT","0","0","0","0","0"
"SEXUAL BATTERY","1","8","0","0","9"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","0","0","0","0","0"
"STATUTORY RAPE","0","1","0","0","1"
"UNLAWFUL TOUCHING/CHILD","0","1","0","0","1"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING                     0","","0","0","0","0"
"Total","2","21","0","0","23"
