"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
16,178","","67.16%","","","","1,022","","","42.67%","","","","17,200","","","","64.95%"
"White
7,613","","31.60%","","","","1,351","","","56.41%","","","","8,964","","","","33.85%"
"Hispanic
214","",".89%","","","","13","","",".54%","","","","227","","","",".86%"
"Native American
25","",".10%","","","","","","",".21%","","","","30","","","",".11%"
"Asian
47","",".20%","","","","","","",".08%","","","","49","","","",".19%"
"Data Unavailable
11","",".05%","","","","2","","",".08%","","","","10","","","",".04%"
"TOTAL
24,088","","100.00%","","","","2,395","","","100.00%","","","","26,480","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,316","","0","1,061","1","","13","0","","3","0","3","","0","0","0","3,397"
"CMCF","1,492","","443","808","528","","19","2","","5","2","2","","0","0","0","3,301"
"SMCI","2,136","","0","1,036","0","","43","0","","2","0","9","","0","0","0","3,226"
"County Jails (approved)","907","","41","529","62","","5","0","","2","1","4","","0","0","0","1,551"
"County Jails (unapproved)","241","","26","150","24","","2","1","","1","0","0","","0","1","0","446"
"Youthful Offender Facility","24","","0","8","0","","1","0","","0","0","0","","0","0","0","33"
"Private Prisons","3,236","","0","1,031","0","","29","0","","3","0","7","","0","0","0","4,306"
"Regional Correctional Facilities","2,813","","142","1,261","153","","40","1","","2","1","7","","0","0","0","4,420"
"Community Work Centers","814","","70","445","160","","1","0","","1","0","3","","0","1","0","1,495"
"Community Trusties","6","","0","4","0","","0","0","","0","0","0","","0","0","0","10"
"Pending File Review","32","","5","35","5","","2","0","","0","0","1","","0","0","0","80"
"Court Order","198","","12","121","26","","2","0","","0","0","2","","0","0","0","361"
"","14,215","","739","0","959","","157","4","","19","4","38","","0","2","0","22,626"
"Intensive Supervison Program","668","","190","488","255","","5","3","","3","0","3","","2","5","2","1,624"
"Earned Release Supervision","1,027","","80","454","104","","4","1","","3","0","2","","0","0","0","1,675"
"Medical Release","16","","1","5","2","","0","0","","0","0","0","","0","0","0","24"
"Other Custody","224","","11","165","28","","45","5","","0","1","4","","0","4","0","487"
"At Large","19","","0","8","2","","3","0","","0","0","0","","0","0","0","32"
"Off-Grounds Medical (Hospital)","7","","0","4","1","","0","0","","0","0","0","","0","0","0","12"
"TOTAL","16,176","","1,021","1,124","1,351","","214","13","","25","5","47","","2","11","2","26,480"
"% OF TOTAL OFFENDERS","61.09%","","3.86%","4.24%","5.10%","",".81%",".05%","",".09%",".02%",".18%","",".01%",".04%",".01%","5 2
100.00%"
