"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,736","","67.20%","","","","720","","","41.43%","","","","13,456","","","","65.04%"
"White
5,956","","31.43%","","","","995","","","57.25%","","","","6,951","","","","33.60%"
"Hispanic
186","",".98%","","","","13","","",".75%","","","","199","","","",".96%"
"Native American
25","",".13%","","","","10","","",".58%","","","","35","","","",".17%"
"Asian
44","",".23%","","","","0","","",".00%","","","","44","","","",".21%"
"Data Unavailable
4","",".02%","","","","0","","",".00%","","","","4","","","",".02%"
"TOTAL
18,951","","100.00%","","","","1,738","","","100.00%","","","","20,689","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,135","","0","986","0","","21","0","","3","0","5","","0","2","0","3,152"
"CMCF","947","","370","531","445","","11","5","","3","2","4","","0","0","0","2,318"
"SMCI","1,792","","0","878","0","","34","0","","2","0","4","","0","1","0","2,711"
"County Jails (approved)","327","","20","201","33","","3","0","","0","0","0","","1","0","0","585"
"County Jails (unapproved)","199","","15","139","37","","4","1","","0","0","1","","0","2","0","398"
"Youthful Offender Facility","24","","0","3","0","","1","0","","0","0","0","","0","0","0","28"
"Private Prisons","2,770","","0","989","0","","24","0","","9","0","8","","0","0","0","3,800"
"Regional Correctional Facilities","2,572","","92","1,142","105","","35","0","","5","0","11","","0","1","0","3,963"
"Community Work Centers","640","","53","336","118","","0","2","","3","0","2","","0","2","0","1,156"
"Community Trusties","11","","0","1","0","","0","0","","0","0","0","","0","0","0","12"
"Pending File Review","40","","2","21","3","","0","0","","0","0","1","","0","0","0","67"
"Court Order","110","","2","87","19","","1","1","","0","0","0","","1","0","0","221"
"","11,567","","554","5,314","760","","134","9","","25","2","36","","2","8","0","18,411"
"Intensive Supervison Program","352","","103","257","141","","0","1","","0","1","4","","1","1","0","861"
"Earned Release Supervision","550","","51","179","36","","3","1","","0","0","2","","0","0","0","822"
"Medical Release","8","","0","4","2","","0","0","","0","0","0","","0","0","0","14"
"Other Custody","249","","15","194","23","","50","5","","3","0","3","","0","3","0","545"
"At Large","16","","0","6","2","","3","0","","0","0","0","","0","0","0","27"
"Off-Grounds Medical (Hospital)","5","","0","2","2","","0","0","","0","0","0","","0","0","0","9"
"TOTAL","12,747","","723","5,956","966","","190","16","","28","3","45","","3","12","0","20,689"
"% OF TOTAL OFFENDERS","61.61%","","3.49%","28.79%","4.67%","",".92%",".08%","",".14%",".01%",".22%","",".01%",".06%",".00%","100.00%"
