"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,883","","67.46%","","","","715","","","42.94%","","","","14,598","","","","65.62%"
"White
6,460","","31.39%","","","","939","","","56.40%","","","","7,399","","","","33.26%"
"Hispanic
166","",".81%","","","","7","","",".42%","","","","173","","","",".78%"
"Native American
21","",".10%","","","","","","",".24%","","","","25","","","",".11%"
"Asian
38","",".18%","","","","4 0","","",".00%","","","","38","","","",".17%"
"Data Unavailable
12","",".06%","","","","0","","",".00%","","","","12","","","",".05%"
"TOTAL
20,580","","100.00%","","","","1,665","","","100.00%","","","","22,245","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,296","","0","1,062","0","","13","0","","1","0","4","","0","0","0","3,376"
"CMCF","1,494","","443","808","515","","28","5","","5","1","6","","0","2","0","3,307"
"SMCI","2,136","","0","986","0","","49","0","","4","0","7","","0","0","0","3,182"
"County Jails (approved)","823","","32","539","52","","4","0","","5","0","4","","0","1","0","1,460"
"County Jails (unapproved)","247","","14","153","16","","2","0","","1","1","3","","0","7","0","444"
"Private Prisons","3,206","","0","1,031","0","","24","0","","2","0","4","","0","0","0","4,267"
"Regional Correctional Facilities","2,686","","141","1,309","159","","38","1","","2","1","8","","0","2","0","4,347"
"Community Work Centers","803","","75","438","165","","5","1","","1","0","2","","0","0","0","1,490"
"Community Trusties","10","","0","3","0","","0","0","","0","0","0","","0","0","0","13"
"Pending File Review","7","","0","6","5","","2","0","","0","0","0","","0","0","0","20"
"Court Order","175","","10","125","27","","1","0","","0","1","0","","0","0","0","339"
"","13,883","","715","6,460","939","","166","7","","21","4","38","","0","12","0","22,245"
"Intensive Supervison Program","648","","168","540","281","","6","1","","2","0","3","","1","4","0","1,654"
"Earned Release Supervision","1,021","","92","429","79","","5","0","","0","0","1","","1","0","0","1,628"
"Medical Release","17","","1","6","1","","0","0","","0","0","0","","0","0","0","25"
"Other Custody","203","","11","160","20","","43","5","","0","1","2","","0","4","0","449"
"At Large","21","","0","8","2","","3","0","","0","0","0","","0","0","0","34"
"Off-Grounds Medical (Hospital)","7","","2","2","1","","0","0","","0","0","0","","0","0","0","12"
"TOTAL","15,800","","989","7,605","1,323","","223","13","","23","5","44","","2","20","0","26,047"
"% OF TOTAL OFFENDERS","60.66%","","3.80%","29.20%","5.08%","",".86%",".05%","",".09%",".02%",".17%","",".01%",".08%",".00%","100.00%"
