"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
14,935","","67.03%","","","","923","","","42.07%","","","","15,858","","","","64.79%"
"White
7,098","","31.86%","","","","1,223","","","55.74%","","","","8,321","","","","34.00%"
"Hispanic
128","",".57%","","","","27","","","1.23%","","","","155","","","",".63%"
"Native American
45","",".20%","","","","17","","",".77%","","","","62","","","",".25%"
"Asian
58","",".26%","","","","2","","",".09%","","","","60","","","",".25%"
"Data Unavailable
17","",".08%","","","","2","","",".09%","","","","19","","","",".08%"
"TOTAL
22,281","","100.00%","","","","2,194","","","100.00%","","","","24,475","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,220","","0","1,039","0","","17","0","","9","0","5","","0","0","0","3,290"
"CMCF","1,143","","417","634","487","","6","1","","1","1","1","","0","0","0","2,691"
"SMCI","2,062","","0","1,071","0","","46","0","","5","0","9","","0","0","0","3,193"
"County Jails (approved)","792","","22","470","46","","9","0","","3","1","0","","0","0","0","1,343"
"County Jails (unapproved)","80","","8","62","11","","0","0","","2","1","0","","0","0","0","164"
"Youthful Offender Facility","26","","0","11","0","","0","0","","0","0","0","","0","0","0","37"
"Private Prisons","3,219","","0","1,034","0","","34","0","","7","0","3","","0","2","0","4,299"
"Regional Correctional Facilities","2,763","","138","1,301","142","","39","1","","1","1","6","","0","0","0","4,392"
"Community Work Centers","606","","37","339","134","","0","1","","1","0","1","","0","0","0","1,119"
"Community Trusties","6","","0","6","0","","0","0","","0","0","0","","0","0","0","12"
"Pending File Review","45","","9","30","10","","4","4","","4","3","3","","3","0","0","115"
"Transitional Housing","0","","0","3","0","","0","0","","0","0","0","","0","0","0","3"
"Court Order","152","","10","99","19","","1","0","","0","0","3","","1","0","0","285"
"","13,114","","641","6,099","849","","156","7","","33","7","31","","4","2","0","20,943"
"Intensive Supervison Program","644","","160","464","247","","8","7","","3","2","4","","1","3","4","1,547"
"Earned Release Supervision","948","","70","322","77","","7","0","","3","0","4","","0","0","0","1,431"
"Medical Release","18","","0","5","2","","0","0","","0","0","0","","0","0","0","25"
"Other Custody","221","","12","164","28","","51","4","","1","1","3","","0","3","0","488"
"At Large","18","","0","8","2","","3","0","","0","0","0","","0","0","0","31"
"Off-Grounds Medical (Hospital)","7","","0","2","1","","0","0","","0","0","0","","0","0","0","10"
"TOTAL","14,970","","883","7,064","1,206","","225","18","","40","10","42","","5","8","4","24,475"
"% OF TOTAL OFFENDERS","61.16%","","3.61%","28.86%","4.93%","",".92%",".07%","",".16%",".04%",".17%","",".02%",".03%",".02%","100.00%"
