"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
16,101","","66.95%","","","","1,021","","","42.24%","","","","17,122","","","","64.69%"
"White
7,643","","31.78%","","","","1,376","","","56.93%","","","","9,019","","","","34.08%"
"Hispanic
215","",".89%","","","","13","","",".54%","","","","228","","","",".86%"
"Native American
22","",".09%","","","","","","",".21%","","","","27","","","",".10%"
"Asian
54","",".22%","","","","","","",".08%","","","","56","","","",".21%"
"Data Unavailable
15","",".06%","","","","0","","",".00%","","","","15","","","",".06%"
"TOTAL
24,050","","100.00%","","","","2,417","","","100.00%","","","","26,467","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,298","","0","1,033","0","","12","0","","2","0","3","","0","0","0","3,348"
"CMCF","1,523","","452","832","520","","21","4","","4","3","3","","0","0","0","3,362"
"SMCI","2,136","","0","1,039","0","","42","0","","2","0","10","","0","0","0","3,229"
"County Jails (approved)","883","","50","513","72","","4","0","","2","0","6","","0","1","0","1,531"
"County Jails (unapproved)","236","","17","133","30","","4","0","","3","0","1","","0","0","0","424"
"Youthful Offender Facility","23","","0","5","0","","1","0","","0","0","0","","0","0","0","29"
"Private Prisons","3,195","","0","1,046","0","","29","0","","2","0","6","","0","0","0","4,278"
"Regional Correctional Facilities","2,806","","133","1,276","161","","39","1","","3","1","9","","0","0","0","4,429"
"Community Work Centers","848","","68","464","172","","1","0","","1","0","2","","0","1","0","1,557"
"Community Trusties","8","","0","3","0","","0","0","","0","0","0","","0","0","0","11"
"Pending File Review","34","","8","27","2","","1","0","","0","0","0","","0","0","0","72"
"Court Order","198","","7","124","25","","1","0","","1","0","3","","0","0","0","359"
"","14,188","","735","0","982","","155","5","","20","4","43","","0","2","0","22,629"
"Intensive Supervison Program","642","","188","510","257","","5","1","","4","0","4","","2","5","0","1,618"
"Earned Release Supervision","1,013","","86","459","104","","4","1","","1","0","2","","0","0","0","1,670"
"Medical Release","17","","1","6","2","","0","0","","0","0","0","","0","0","0","26"
"Other Custody","223","","10","161","27","","48","6","","0","1","2","","0","4","0","482"
"At Large","20","","0","8","2","","3","0","","0","0","0","","0","0","0","33"
"Off-Grounds Medical (Hospital)","2","","1","4","2","","0","0","","0","0","0","","0","0","0","9"
"TOTAL","16,105","","1,021","1,148","1,376","","215","13","","25","5","51","","2","11","0","26,467"
"% OF TOTAL OFFENDERS","60.85%","","3.86%","4.34%","5.20%","",".81%",".05%","",".09%",".02%",".19%","",".01%",".04%",".00%","5 2
100.00%"
