"Off-Grounds Medical (Hospital)","","","00","7","0.03%","",""
"At Large (Escapees & Walk-Aways)","","","0","25","0.12%","",""
"TOTAL","","","23,881","21,044","100.00%","",""
"BY RACE/SEX AND LOCATION","","","","","","",""
"","","% OF","","% OF","","","% OF"
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","","TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","","OFFENDERS"
"Black","12,502","64.46%","597","36.20%","13,099","","62.25%"
"White","6,612","34.09%","1,029","62.40%","7,641","","36.31%"
"Hispanic","199","1.03%","15",".91%","214","","1.02%"
"Native American","25",".13%","4",".24%","29","",".14%"
"Asian","52",".27%","3",".18%","55","",".26%"
"Data Unavailable","5",".03%","1",".06%","6","",".03%"
"TOTAL","19,395","100.00%","1,649","100.00%","21,044","","100.00%"
"","Black","","White","Hispanic","Native American","Asian",""
"LOCATION","Male","Female
Male","Female","Male
Female","Male
Female","Male","Female
Male"
