county,namesake,county_seat(s),founding_year,square_miles,pop,website
Adams,President John Adams,Natchez,1817,486.4,"31,737",www.adamscountyms.net
Alcorn,Gov. James L. Alcorn,Corinth,1870,401.3,"37,308",www.alcorncounty.org
Amite,"the Indian word meaning, ""friendly river""",Liberty,1817,731.6,"12,629",www.amitecounty.ms
Attala,"the Indian heroine, ""Attala""",Kosciusko,1833,736.9,"19,163",www.attalacounty.net
Benton,Confederate General Samuel Benton,Ashland,1870,408.5,"8,296",www.bentoncountyms.gov
Bolivar,South American hero Simon Bolivar,Rosedale & Cleveland,1836,905.7,"33,768",www.co.bolivar.ms.us
Calhoun,U.S. Vice President John C. Calhoun,Pittsboro,1852,587.5,"14,745",www.calhouncoms.com
Carroll,"Charles Carroll, a signer of the Declaration of Independence",Carrollton & Vaiden,1833,634.3,"10,254",www.carrollcountyms.com
Chickasaw,Chickasaw Indians,Houston & Okolona,1836,504.2,"17,313",www.chickasawcoms.com
Choctaw,Choctaw Indians,Ackerman,1833,419.7,"8,294",www.choctawcountyms.com
Claiborne,Mississippi Territory Gov. William C. Claiborne,Port Gibson,1817,501.4,"9,080",www.claibornecountyms.org
Clarke,"Judge Joshua Clarke, first Chancellor of Mississippi",Quitman,1833,693.4,"16,299",www.visitclarkecounty.com
Clay,Kentucky statesman Henry Clay,West Point,1871,416,"20,225",www.claycountyms.com
Coahoma,"Indian word meaning, ""red panther""",Clarksdale,1836,583,"24,807",www.coahomacounty.net
Copiah,"Choctaw word meaning, ""calling panther""",Hazlehurst,1823,779.2,"28,797",www.copiahcounty.org
Covington,"General Leonard Covington, veteran of War of 1812",Collins,1819,414.8,"19,442",www.convingtonchamber.com
Desoto,"Hernando DeSoto, discoverer of the Mississippi River",Hernando,1836,496.6,"170,913",www.desotoms.com
Forrest,"General Nathan Bedford Forrest, Confederate Calvary Leader",Hattiesburg,1908,470,"76,330",www.forrestcountyms.us
Franklin,"Benjamin Franklin, colonial statesman and philosopher",Meadville,1809,566.7,"8,118",www.meadvillems.com
George,"J.Z. George, lawyer, jurist, and statesman",Lucedale,1910,483.6,"23,303",www.georgecountyms.com
Greene,"Gen. Nathaniel Greene, Revolutionary War hero",Leakesville,1817,718.7,"14,326",www.greenecountycircuitclerk.com
Grenada,"city of Grenada, Spain",Grenada,1870,449.2,"21,666",www.grenadamississippi.com
Hancock,"John Hancock, first signer of the Declaration of Independence",Bay St. Louis,1817,552.4,"45,949",www.hancockcountyms.gov
Harrison,"William Henry Harrison, ninth President of the U.S.",Gulfport & Biloxi,1841,975.9,"199,058",www.co.harrison.ms.us
Hinds,"Gen. Thomas Hinds, hero of the Battle of New Orleans",Jackson & Raymond,1821,877.1,"243,729",www.co.hinds.ms.us
Holmes,"David Holmes, last Gov. of the Mississippi Territory",Lexington,1833,764,"18,459",www.holmescountymississippi.com
Humphreys,"Benjamin Humphreys, 26th Governor of Mississippi",Belzoni,1918,431.1,"8,741",www.belzonims.com
Issaquena,"Indian word meaning, ""deer river""",Mayersville,1844,441.4,"1,397",
Itawamba,the Indian Chief Itawamba,Fulton,1836,540.5,"23,527",www.itawambacoms.com
Jackson,General Andrew Jackson,Pascagoula,1812,1043.3,"141,137",www.co.jackson.ms.us
Jasper,"Sergeant Jasper, hero of the Revolutionary War",Bay Springs & Paulding,1833,683,"16,601",www.co.jasper.ms.us
