county,position,name,agency,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,physical_address
Adams,Sheriff,Travis Lamont Patten,Adams County Sheriff's Department,"306 State St., Natchez 39120",(601) 442-2752,(601) 442-2911,,,,,,2016-2020 Blue Book,"306 State St., Natchez, MS 39120"
Alcorn,Sheriff,Ben Caldwell,Alcorn County Sheriff's Department,"2833 S. Harper Rd., Corinth 38834",(662) 286-5521,(662) 286-7773,,,,,,2016-2020 Blue Book,"2833 S. Harper Rd., Corinth, MS 38834"
Amite,Sheriff,Tim Wroten,Amite County Sheriff's Department,"P.O. Box 208, Liberty 39645",(601) 657-8057,(601) 657-4199,,,,,,2016-2020 Blue Book,"243 S Broad St, Liberty, MS 39645"
Attala,Sheriff,Tim Nail,Attala County Sheriff's Department,"112 W. Adams St., Kosciusko 39090",(662) 289-5556,(662) 289-3476,,,,,,2016-2020 Blue Book,"112 W. Adams St., Kosciusko, MS 39090"
Benton,Sheriff,A. A. (Arnie) McMullen,Benton County Sheriff's Department,"P.O. Box 245, Ashland 38603",(662) 224-8941,(662) 224-6307,,,,,,2016-2020 Blue Book,"368 Ripley Avenue, Ashland, MS 38603"
Bolivar,Sheriff,Kelvin Williams Sr,Bolivar County Sheriff's Department,"P.O. Box 157, Rosedale 38769",(662) 759-3536,(662) 759-3467,"P.O. Box 539, Cleveland 38732",(662) 843-5378,(662) 759-3467,,,2016-2020 Blue Book,"2792 MS-8, Cleveland, MS 38732"
Calhoun,Sheriff,Greg Pollan,Calhoun County Sheriff's Department,"P.O. Box 158, Pittsboro 38951",(662) 412-3149,(662) 412-3197,,,,,,2016-2020 Blue Book,"178 South Murphree Street Pittsboro, MS 38951"
Carroll,Sheriff,Clint Walker,Carroll County Sheriff's Department,"P.O. Box 291, Carrollton 38917",(662) 237-9283,(662) 237-6655,,,,,,2016-2020 Blue Book,"105 Washington St, Carrollton, MS 38917"
Chickasaw,Sheriff,James Meyers,Chickasaw County Sheriff's Department,"130 Lancaster Cir., Houston 38851",(662) 456-2339,(662) 456-5291,,,,,,2016-2020 Blue Book,"130 Lancaster Cir., Houston, MS 38851"
Choctaw,Sheriff,Cloyd Halford,Choctaw County Sheriff's Department,"122 Jail House Rd., Ackerman 39735",(662) 285-6129,(662) 285-9040,,,,,,2016-2020 Blue Book,"122 Jail House Rd., Ackerman, MS 39735"
Claiborne,Sheriff,Frank Davis,Claiborne County Sheriff's Department,"P.O. Box 427, Port Gibson 39150",(601) 437-5161,(601) 437-3824,,,,,,2016-2020 Blue Book,"410 Market St, Port Gibson, MS 39150"
Clarke,Sheriff,Todd Kemp,Clarke County Sheriff's Department,"444 West Donald St., Quitman 39355",(601) 776-5252,(601) 776-1025,,,,,,2016-2020 Blue Book,"444 West Donald St., Quitman, MS 39355"
Clay,Sheriff,Eddie Scott,Clay County Sheriff's Department,"P.O. Box 142, West Point 39773",(662) 494-2896,(662) 494-4034,,,,,,2016-2020 Blue Book,"348 W Broad St, West Point, MS 39773"
Coahoma,Sheriff,Charles Jones,Coahoma County Sheriff's Department,"P.O. Box 1182, Clarksdale 38614",(662) 624-3081,(662) 624-3035,,,,,,2016-2020 Blue Book,"1 Justice Drive, Clarksdale, MS"
