county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Adams,Chancery Clerk,Brandi B. Lewis,"115 South Wall St., Natchez 39120",(601) 446-6684,(601) 445-7913,,,,,,2016-2020 Blue Book,
Alcorn,Chancery Clerk,Greg Younger,"P.O. Box 69, Corinth 38835-0069",(662) 286-7700,(662) 286-7706,,,,,,2016-2020 Blue Book,
Amite,Chancery Clerk,Jana Causey,"P.O. Box 680, Liberty 39645",(601) 657-8022,(601) 657-8288,,,,,,2016-2020 Blue Book,
Attala,Chancery Clerk,Gerry Taylor," 230 W. Washington St., Kosciusko 39090",(662) 289-2921,(662) 289-7662,,,,,,2016-2020 Blue Book,
Benton,Chancery Clerk,Marlene McKenzie," P.O. Box 218, Ashland 38603",(662) 224-6300,(662) 224-6303,,,,,,2016-2020 Blue Book,
Bolivar,Chancery Clerk,Brenett N. Haynes,"P.O. Box 238, Rosedale 38769",(662) 759-3762,(662) 759-3467,"P.O. Box 789, Cleveland 38732",(662) 843-2071,(662) 846-2940,,,2016-2020 Blue Book,
Calhoun,Chancery Clerk,Romona Tillman,"P.O. Box 8, Pittsboro 38951",(662) 412-3117,(662) 412-3111,,,,,,2016-2020 Blue Book,
Carroll,Chancery Clerk,Stanley Mullins,"P.O. Box 60, Carrollton 38917",(662) 237-9274,(662) 237-9642,"P.O. Box 6, Vaiden 39176",(662) 464-5476,(662) 464-5407,,,2016-2020 Blue Book,
Chickasaw,Chancery Clerk,Tiffany Lovvorn,"1 Pinson Square, Houston 38851",(662) 456-2513,(662) 456-5295," 234 W. Main St., Rm. 201, Okolona 38860",(662) 447-2092,(662) 447-5024,,,2016-2020 Blue Book,
Choctaw,Chancery Clerk,Steve Montgomery," P.O. Box 250, Ackerman 39735",(662) 285-6329,(662) 285-3444,,,,,,2016-2020 Blue Book,
Claiborne,Chancery Clerk,Gloria Dotson,"P.O. Box 449, Port Gibson 39150",(601) 437-4992,(601) 437-3137,,,,,,2016-2020 Blue Book,
Clarke,Chancery Clerk,Angie Wade Chisholm," P.O. Box 689, Quitman 39355",(601) 776-2126,(601) 776-2756,,,,,,2016-2020 Blue Book,
Clay,Chancery Clerk,Amy Berry,"P.O. Box 815, West Point 39773",(662) 494-3124,(662) 492-4059,,,,,,2016-2020 Blue Book,
Coahoma,Chancery Clerk,Carolyn B. Parham," P.O. Box 98, Clarksdale 38614",(662) 624-3000,(662) 624-3040,,,,,,2016-2020 Blue Book,
Copiah,Chancery Clerk,Steve Amos," P.O. Box 507, Hazlehurst 39083",(601) 894-4101,(601) 894-4081,,,,,,2016-2020 Blue Book,
Covington,Chancery Clerk,Joseph L. Warren,"P.O. Box 1679, Collins 39428",(601) 765-4242,(601) 765-5016,,,,,,2016-2020 Blue Book,
Desoto,Chancery Clerk,Misty Heffner," P.O. Box 949, Hernando 38632",(662) 469-8005,(662) 469-8308,,,,,,2016-2020 Blue Book,
Forrest,Chancery Clerk,Jimmy C. Havard," P.O. Box 951, Hattiesburg 39403",(601) 545-6014,(601) 545-6017,,,,,,2016-2020 Blue Book,
Franklin,Chancery Clerk,Jill Jordan Gilbert,"P.O. Box 297, Meadville 39653",(601) 384-2330,(601) 384-5864,,,,,,2016-2020 Blue Book,
George,Chancery Clerk,Cammie Brannan Byrd," 355 Cox St., Ste. A, Lucedale 39452",(601) 947-4801,(601) 947-1300,,,,,,2016-2020 Blue Book,
Greene,Chancery Clerk,Michelle D. Eubanks," P.O. Box 610, Leakesville 39451",(601) 394-2377,(601) 394-4445,,,,,,2016-2020 Blue Book,
Grenada,Chancery Clerk,Johnny L. Hayward," P.O. Box 1208, Grenada 38902-1208",(662) 226-1821,(662) 227-2860,,,,,,2016-2020 Blue Book,
