"Admin(Sal)","$ 9,319,311   $ 774,511   $                       -   $ 300,000   $ 10,393,822",""
"Admin(Other)","$ 22,501,067   $ 1,135,600   $                       -   $ 394,482   $ 24,031,149",""
"Utilities","$ 5,691,063   $ 502,759   $ 250,000   $                      -   $ 6,443,822",""
"SUB-TOTAL","$ 136,937,286  $ 6,594,224   $ 10,103,855  $ 694,482   $ 154,329,847",""
"Medical","2554","$ 42,843,048"
"Local Confinement","2557","$ 9,159,490"
"Parole Board","2553","$ 590,499"
"Ag Enterprises","3552","$ 2,501,425"
"Private Prisons","2555","$ 72,891,594"
"Regional Facilities","2556","$ 29,929,742"
"GRAND TOTAL","","$ 312,245,645"
