"","PROGRAM","A1","A2","B"
"FUND","NAME","SALARIES","TRAVEL","CONTRACTUAL"
"2551","Support - General","$ 101,887,517","$ 364,755","$ 19,288,368"
"3551","Support - Special","$ 4,198,505","$ 64,348","$ 570,898"
"2555","Private Prisons - Operating","$                       -","$                    -","$ 28,742,455"
"2555","Private Prisons - Capital","$                       -","$                    -","$ 13,207,945"
"3564","Private Prisons - (deficits)","$                       -","$                    -","$ 30,913,510"
"2556","Regional Prisons","$                       -","$                    -","$ 18,420,388"
"3562","Regional Prisons (deficit)","$                       -","$                    -","$ 11,533,532"
"3554","Training","$ 300,000","$ 106,619","$ 65,060"
"3556","Community Services","$ 8,469,232","$ 38,898","$ 350,000"
"3557","Confiscated Funds","$                       -","$                    -","$                      -"
"3561","Vocational Education Equipment","$                       -","$                    -","$                      -"
"3552","Agriculture Enterprises - Special","$ 570,484","$ 3,669","$ 171,558"
"3549","Salvage","$                       -","$ 2,967","$ 4,700"
"2553","Parole Board","$ 495,062","$ 22,447","$ 62,144"
"2554","Medical Services","$                       -","$                    -","$ 23,240,944"
"2554","Medical Services Paid w/ FY 2008","$                       -","$                    -","$ 2,799,714"
"3553","Medical Services (deficit)","$ 243,765","$                    -","$ 16,473,986"
"2557","Local Confinement","$                       -","$                    -","$ 5,878,797"
"3559","Local Confinement (deficit)","$                       -","$                    -","$ 3,280,693"
"","TOTAL","$ 116,164,565","$ 603,703","$ 175,004,692"
