"Community Corrections","Authorized 
Positions","Filled 
Positions"
"Administrative, Support, Field Staff","274","227"
"Alcorn County Community Work Center","15","15"
"Bolivar County Community Work Center","15","13"
"Forrest County Community Work Center","14","15"
"George County Community Work Center","14","14"
"Harrison County Community Work Center","14","14"
"Jackson County Community Work Center","15","15"
"Jefferson County Community Work Center","14","11"
"Leflore County Community Work Center","14","14"
"Madison County Community Work Center","14","14"
"Noxubee County Community Work Center","15","12"
"Pike County Community Work Center","16","14"
"Quitman County Community Work Center","14","13"
"Simpson County Community Work Center","14","12"
"Washington County Community Work Center","14","12"
"Wilkinson County Community Work Center","15","12"
"Yazoo County Community Work Center","14","12"
"Flowood Community Work Center/Restitution","33","29"
"Leflore County Restitution","17","15"
"Hinds County Restitution","18","15"
"Pascagoula Restitution","17","12"
"TOTAL  COMMUNITY CORRECTIONS","590","510"
"","",""
"GRAND TOTAL","3,422","3,017"
