"","","","$61,982,393","",""
"N/A","$1.22","$9.96","$43.41","$35.69","$23.73"
"","","","$34.87","",""
"","$ 9,159,490   $ 12,598,632   $ 4,040,147   $ 72,891,594   $ 29,929,742   $ 1,997,126   $ 225,441,880","","","",""
"","$                -   $                    -   $                  -   $ 1,715,439   $ 8,427,961   $ 33,222   $ 42,843,048","","","",""
"","$                -   $ 359,209   $ 129,062   $ 2,401,272   $ 1,512,544   $ 129,175   $ 10,393,822","","","",""
"","$                -   $ 160,000   $                  -   $                  -   $                   -   $ 24,000   $ 3,770,943","","","",""
"","$                -   $ 110,000   $                  -   $                  -   $                   -   $ 24,000   $ 2,672,879","","","",""
"","$                -   $                    -   $                  -   $                  -   $                   -   $                  0    $ 24,031,149","","","",""
"","$               -   $                    -   $                  -   $                  -   $                   -   $ 53,928   $ 2,501,425","","","",""
"","$                -   $                    -   $                  -   $ 143,147   $ 90,167   $ 7,701   $ 590,499","","","",""
"","$ 9,159,490  $ 13,227,841  $ 4,169,209  $ 77,151,452  $ 39,960,414  $ 2,269,152  $ 312,245,645","","","",""
