month,Jul,Aug,Sept,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Avg.
Travel Permit,10,6,21,14,9,30,6,28,71,82,15,28,27
Reporting Instruction,34,37,39,49,34,21,28,39,50,26,44,49,38
Investigation,54,37,29,26,70,49,21,70,72,27,60,58,48
Acceptance,17,19,18,12,47,14,29,21,108,94,74,71,44
Rejection,21,17,11,10,20,6,4,1,23,10,14,8,12
Cancellation,1,1,2,1,4,0,0,0,0,0,1,0,1
Pending,23,3,27,37,54,49,21,82,72,27,60,58,43
Progress Report,10,12,13,5,18,15,37,34,39,18,24,40,22
Violation,15,14,15,8,10,21,12,18,23,31,25,31,19
Probation Warrant,0,2,0,0,1,0,0,3,2,3,7,3,2
Parole Warrant,0,0,0,0,0,0,2,1,0,0,0,0,0
Closure,11,12,27,27,22,10,15,25,35,34,31,44,24
Discharge,8,7,10,7,11,11,13,16,16,9,11,14,11
New File,0,1,40,14,6,6,1,3,54,0,5,5,11
Updates,22,61,145,12,95,68,90,71,97,124,187,274,104
Revocation,0,0,1,0,0,0,0,0,0,0,0,1,0
File Deletion,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,226,229,398,222,1534,300,279,412,1744,485,558,684,589
