"Admin. (Salaries)","$ 8,093,478","$906,736","$0","$500,000
$9,500,214"
"Admin. (Other)","$27,432,456","$205,324","$0","$191,757
$27,829,537"
"","$127,523,223","$4,481,183","$ 8,008,410","$691,757
$140,704,573"
"Medical","2554","","","$ 33,067,715"
"Local","2557","","","$ 10,270,441"
"Parole Board","2553","","","$ 494,625"
"Ag Enterprises","3552","","","$ 2,677,170"
"Private Prisons","2555","","","$ 63,179,608"
"Regionals","2556","","","$ 26,828,626"
"","","","","$ 277,222,758"
"","","","","$                   -"
