"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","578","541","192","1,402","546","3,259"
"CMCF","655","782","141","810","250","2,638"
"SMCI","485","538","170","1,044","480","2,717"
"County Jails (approved)","384","221","17","55","10","687"
"Youthful Offender Facility","0","1","5","14","8","28"
"County Jails (unapproved)","118","164","24","82","22","410"
"Private Prisons","481","547","274","1,909","682","3,893"
"Regional Correctional Facilities","646","637","277","1,351","785","3,696"
"Community Work Centers","716","315","2","32","0","1,065"
"Community Trusties","10","0","0","0","12"
"Pending File Review","27","6","3","8","0","64"
"Court Order","66","82","11","52","12","223"
"TOTAL CUSTODY POPULATION","4,166","3,856","1,116","6,759","2,795","18,692"
"% OF TOTAL OFFENSES","22.29%","20.63%","5.97%","36.16%","14.95%","100.00%"
"Intensive Supervison Program","338","388","8","55","5","794"
"Earned Release Supervision","254","61","146","379","3","843"
"Medical Release","7","3","0","3","13"
"Other Custody","180","215","17","91","6","529"
"At Large","4","0","6","0","26"
"Off-Grounds Medical (Hospital)","0","6","2","11"
"TOTAL","4,954","4,537","1,287","7,299","2,831","20,908"
"% OF TOTAL OFFENSES","23.70%","21.70%","6.16%","34.91%","13.54%"
"6 3
2 2
01
0 2
100.00%"
