"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGREVATED VIOLENTOFFENSES","SEX OFFENSES","TOTAL"
"MSP","598","537","175","1,310","487","3,107"
"CMCF","546","561","128","720","233","2,188"
"SMCI","428","528","143","936","477","2,512"
"County Jails (approved)","344","171","12","49","580"
"Youthful Offender Facility","0","6","16","28"
"County Jails (unapproved)","8","132","11","42","22","285"
"Private Prisons","472","516","280","1,957","650","3,875"
"Regional Correctional Facilities","733","736","324","1,525","891","4,209"
"Community Work Centers","765","395","3","15","0","1,178"
"Community Trusties","0","0","0","13"
"Pending File Review","0","6","3","18","2","79"
"Court Order","67","82","11","42","9","211"
"TOTAL CUSTODY POPULATION","4,060","3,698","1,096","6,630","2,781","18,265"
"% OF TOTAL OFFENSES","22.23%","20.25%","6.00%","36.30%","15.23%","100.00%"
"Intensive Supervison Program","358","437","9","53","5","862"
"Earned Release Supervision","241","67","145","373","5","831"
"Medical Release","8","4","0","3","15"
"Other Custody","194","233","16","87","7","557"
"At Large","4","0","7","0","27"
"Off-Grounds Medical (Hospital)","0","5","1","8"
"TOTAL","4,867","4,455","1,266","7,158","2,819","20,565"
"% OF TOTAL OFFENSES","23.67%","21.66%","6.16%","","34.81%","","","13.71%","","","","100.00%","0 7
9 2
6 0
4 3
21
0 2
4 6"
