"Offense","Black","White","Hispanic","Other","Total"
"Aggravated Assault","1","0","0","0","1"
"Burglary","3","1","0","0","4"
"Homicide","1","1","0","0","2"
"Manslaughter","1","1","0","0","2"
"Sell/Manufacture/Distribute Drugs","10","7","0","0","17"
"Possession/Drugs with Intent","1","6","0","0","7"
"Possession of Drugs","8","13","0","0","21"
"Property","16","23","0","0","39"
"Robbery","0","1","0","0","1"
"Sex Offense","0","0","0","0","0"
"Violent","1","2","0","0","3"
"Total","42","55","0","0","97"
