"County","Offenders","Percent"
"Adams","2","0.24%"
"Alcorn","19","2.26%"
"Amite","3","0.36%"
"Attala","2","0.24%"
"Benton","0","0.00%"
"Bolivar","3","0.36%"
"Calhoun","7","0.83%"
"Carroll","3","0.36%"
"Chickasaw","10","1.19%"
"Choctaw","2","0.24%"
"Claiborne","1","0.12%"
"Clarke","4","0.48%"
"Clay","13","1.55%"
"Coahoma","8","0.95%"
"Copiah","4","0.48%"
"Covington","6","0.72%"
"+ Desoto","39","4.65%"
"+ Forrest","26","3.10%"
"Franklin","3","0.36%"
"George","9","1.07%"
"Greene","2","0.24%"
"Grenada","5","0.60%"
"Hancock","11","1.31%"
"+ Harrison","98","11.68%"
"+ Hinds","27","3.22%"
"Holmes","2","0.24%"
"Humphreys","0","0.00%"
"Issaquena","0","0.00%"
"Itawamba","7","0.83%"
"+ Jackson","45","5.36%"
"Jasper","7","0.83%"
"Lincoln","9","1.07%"
"+ Lowndes","34","4.05%"
"+ Madison","27","3.22%"
"Marion","12","1.43%"
"Marshall","8","0.95%"
"Monroe","17","2.03%"
"Montgomery","7","0.83%"
"Neshoba","9","1.07%"
"Newton","4","0.48%"
"Noxubee","1","0.12%"
"Oktibbeha","12","1.43%"
"Panola","8","0.95%"
"Pearl River","11","1.31%"
"Perry","6","0.72%"
"Pike","13","1.55%"
"Pontotoc","16","1.91%"
"Prentiss","6","0.72%"
"Quitman","2","0.24%"
"+ Rankin","57","6.79%"
"Scott","4","0.48%"
"Sharkey","1","0.12%"
"Simpson","1","0.12%"
"Smith","7","0.83%"
"Stone","6","0.72%"
"Sunflower","3","0.36%"
"Tallahatchie","3","0.36%"
"Tate","6","0.72%"
"Tippah","5","0.60%"
"Tishomingo","2","0.24%"
"Tunica","5","0.60%"
"Union","3","0.36%"
"Jeff Davis","1","0.12%"
"Jefferson","1","0.12%"
"+ Jones","22","2.62%"
"Kemper","0","0.00%"
"Lafayette","10","1.19%"
"Lamar","12","1.43%"
"+ Lauderdale","22","2.62%"
"Lawrence","5","0.60%"
"Leake","8","0.95%"
"Lee","20","2.38%"
"Leflore","10","1.19%"
"Walthall","3","0.36%"
"Warren","10","1.19%"
"Washington","14","1.67%"
"Wayne","7","0.83%"
"Webster","7","0.83%"
"Wilkinson","0","0.00%"
"Winston","6","0.72%"
"Yalobusha","2","0.24%"
"Yazoo","4","0.48%"
"Unknown","2","0.24%"
"TOTAL","839","100.00%"
