"County","Offenders","Percent"
"Adams","20","0.62%"
"Alcorn","61","1.89%"
"Amite","8","0.25%"
"Attala","17","0.53%"
"Benton","10","0.31%"
"Bolivar","13","0.40%"
"Calhoun","23","0.71%"
"Carroll","3","0.09%"
"Chickasaw","36","1.12%"
"Choctaw","4","0.12%"
"Claiborne","0","0.00%"
"Clarke","13","0.40%"
"Clay","39","1.21%"
"Coahoma","14","0.43%"
"Copiah","7","0.22%"
"Covington","6","0.19%"
"Desoto","154","4.78%"
"Forrest","94","2.91%"
"Franklin","11","0.34%"
"George","34","1.05%"
"Greene","8","0.25%"
"Grenada","26","0.81%"
"Hancock","73","2.26%"
"Harrison","396","12.28%"
"Hinds","67","2.08%"
"Holmes","8","0.25%"
"Humphreys","3","0.09%"
"Issaquena","1","0.03%"
"Itawamba","20","0.62%"
"Jackson","175","5.43%"
"Jasper","14","0.43%"
"Jeff Davis","12","0.37%"
"Jefferson","4","0.12%"
"Jones","36","1.12%"
"Kemper","3","0.09%"
"Lafayette","22","0.68%"
"Lincoln","55","1.71%"
"Lowndes","126","3.91%"
"Madison","105","3.26%"
"Marion","24","0.74%"
"Marshall","52","1.61%"
"Monroe","42","1.30%"
"Montgomery","7","0.22%"
"Neshoba","26","0.81%"
"Newton","16","0.50%"
"Noxubee","2","0.06%"
"Oktibbeha","67","2.08%"
"Panola","54","1.67%"
"Pearl River","76","2.36%"
"Perry","20","0.62%"
"Pike","66","2.05%"
"Pontotoc","43","1.33%"
"Prentiss","41","1.27%"
"Quitman","6","0.19%"
"Rankin","175","5.43%"
"Scott","32","0.99%"
"Sharkey","0","0.00%"
"Simpson","21","0.65%"
"Smith","14","0.43%"
"Stone","23","0.71%"
"Sunflower","5","0.16%"
"Tallahatchie","10","0.31%"
"Tate","30","0.93%"
"Tippah","25","0.78%"
"Tishomingo","16","0.50%"
"Tunica","12","0.37%"
"Union","51","1.58%"
"Walthall","11","0.34%"
"Warren","57","1.77%"
"Washington","37","1.15%"
"Wayne","19","0.59%"
"Webster","12","0.37%"
"Lamar","53","1.64%"
"Lauderdale","93","2.88%"
"Lawrence","14","0.43%"
"Leake","34","1.05%"
"Lee","147","4.56%"
"Leflore","30","0.93%"
"Wilkinson","1","0.03%"
"Winston","21","0.65%"
"Yalobusha","3","0.09%"
"Yazoo","7","0.22%"
"Unknown","9","0.28%"
"TOTAL","3,225","100.00%"
